source,target,level
171517591,24866246,1
171517591,24866246,1
24865004,24864985,1
24865004,24864985,1
24865004,24864985,1
24881642,24883404,1
24881642,24883404,1
24866280,171517591,1
24866280,171517591,1
24862194,19452130,1
24862194,19452130,1
19452131,24862250,1
19452131,24862250,1
24862191,19452131,1
24862191,19452131,1
24862250,19452132,1
24862250,19452132,1
19452133,24862194,1
19452133,24862194,1
24862251,19452133,1
24862251,19452133,1
24864974,24864967,1
24864974,24864967,1
24864966,24864973,1
24864966,24864973,1
24864973,24864977,1
24864973,24864977,1
19452135,24864974,1
19452135,24864974,1
24864977,19452136,1
24864977,19452136,1
24864977,19452136,1
19452137,24865005,1
19452137,24865005,1
19452137,24865005,1
24865474,19452138,1
24865474,19452138,1
19452138,24865004,1
19452138,24865004,1
24865005,24865473,1
24865005,24865473,1
24865473,24865476,1
24865473,24865476,1
24865477,24865474,1
24865477,24865474,1
24866245,19452141,1
24866245,19452141,1
19452141,24866256,1
19452141,24866256,1
24866256,24866277,1
24866256,24866277,1
24866277,24866278,1
24866277,24866278,1
19452148,24881576,1
19452148,24881576,1
19452149,24881532,1
19452149,24881532,1
24881596,24881610,1
24881596,24881610,1
19452150,24881598,1
19452150,24881598,1
19452153,196348657,1
19452153,196348657,1
221977902,215617202,1
221977902,215617202,1
221977901,221977952,1
221977901,221977952,1
221977901,221977952,1
221977901,221977952,1
24883467,19452153,1
24883467,19452153,1
24881598,19452149,1
24881598,19452149,1
24881576,24881596,1
24881576,24881596,1
24864985,275121465,1
24864985,275121465,1
275121465,19452135,1
275121465,19452135,1
215616312,19452137,1
215616312,19452137,1
215616312,19452137,1
19452136,215616312,1
19452136,215616312,1
19452136,215616312,1
19452132,309601383,1
19452132,309601383,1
309601383,24864966,1
309601383,24864966,1
309601384,24862251,1
309601384,24862251,1
24864967,309601384,1
24864967,309601384,1
196348600,24880328,1
196348600,24880328,1
24881610,24881642,1
24881610,24881642,1
24881610,24881642,1
196348657,19452150,1
196348657,19452150,1
311295453,19452148,1
311295453,19452148,1
196985562,311295454,1
196985562,311295454,1
196985562,311295454,1
221977952,221977950,1
221977952,221977950,1
221977952,221977950,1
221977952,221977950,1
221977950,221977949,1
221977950,221977949,1
221977950,221977949,1
311295462,221977898,1
311295462,221977898,1
311295471,24865477,1
311295471,24865477,1
309601492,311295471,1
309601492,311295471,1
24865476,215616412,1
24865476,215616412,1
215616412,309601491,1
215616412,309601491,1
328008201,221977923,1
328008201,221977923,1
328008207,328008201,1
328008207,328008201,1
838370824,196985562,1
838370824,196985562,1
838370824,196985562,1
24881532,838370824,1
24881532,838370824,1
24881532,838370824,1
838614300,311295462,1
838614300,311295462,1
838614302,196985665,1
838614302,196985665,1
838614302,196985665,1
24880327,838614302,1
24880327,838614302,1
24880327,838614302,1
842042772,24862056,1
842042772,24862056,1
19452130,842042772,1
19452130,842042772,1
24862053,842042773,1
24862053,842042773,1
842042773,24862191,1
842042773,24862191,1
24883404,848140796,1
24883404,848140796,1
848140796,24883466,1
848140796,24883466,1
850819045,850819046,1
850819045,850819046,1
850821550,196985645,1
850821550,196985645,1
850821550,196985645,1
850821551,850821550,1
850821551,850821550,1
850821551,850821550,1
196985665,850821551,1
196985665,850821551,1
196985665,850821551,1
196985645,196985643,1
196985645,196985643,1
196985645,196985643,1
196985645,196985643,1
854302367,221977901,1
854302367,221977901,1
854302367,221977901,1
854302367,221977901,1
196985643,854302367,1
196985643,854302367,1
196985643,854302367,1
196985643,854302367,1
215617202,854302368,1
215617202,854302368,1
215616799,854302475,1
215616799,854302475,1
854302475,328008207,1
854302475,328008207,1
221977898,854302476,1
221977898,854302476,1
872159575,309601494,1
872159575,309601494,1
221977923,880277673,1
221977923,880277673,1
880277673,221977920,1
880277673,221977920,1
854302368,880277681,1
854302368,880277681,1
880277681,196348600,1
880277681,196348600,1
850819046,880294703,1
850819046,880294703,1
880294703,215616799,1
880294703,215616799,1
880294704,872159575,1
880294704,872159575,1
854302476,880294704,1
854302476,880294704,1
221977920,898652606,1
221977920,898652606,1
898652606,221977902,1
898652606,221977902,1
898728559,838614300,1
898728559,838614300,1
898728559,838614300,1
221977949,898728559,1
221977949,898728559,1
221977949,898728559,1
24880328,918464468,1
24880328,918464468,1
918464468,311295453,1
