SID,source,target
34816,215642887,171518299
24665,171531670,171531786
24664,171528429,215644725
34722,335454709,335454711
35619,24865160,215675928
34982,171531670,171531786
28228,243541105,275213672
28229,979688780,979688781
28230,171517364,338857644
28231,976097045,976097046
28232,24880273,171525866
28234,171520432,171520446
28235,171521324,171521323
28236,335454709,335454711
27865,24864959,24864960
34780,338858860,171521311
34665,171525884,979707344
34666,171525884,979707344
34810,24866362,24866357
34811,243541065,171522666
34812,915037722,915037723
34813,1045448568,1045479695
34814,24866930,24866484
34815,24866520,24866503
