node,x,y
34816,-80.4147365,37.14251464
24665,-80.17753991,37.23690882
36239,-80.05627338,37.28149485
24664,-80.26555339,37.14759537
24595,-80.1676081,37.23161953
22748,-80.02411441,37.26739725
24597,-80.02305441,37.26744642
24598,-80.1194668,37.1783679
22745,-80.05660188,37.28123285
24666,-80.12589238,37.29987475
27678,-80.30859177,36.92592942
34722,-80.38912184,37.20580015
35619,-80.53765692,37.14550364
34982,-80.17746496,37.23709799
24668,-80.07032884,37.28976716
34370,-80.58238534,37.07236378
28228,-80.38097126,37.27708188
28229,-80.46710169,37.10222454
28230,-80.44405861,37.16524664
28231,-80.38395996,37.12252838
28232,-80.33119304,37.13830302
28233,-80.39842021,36.97539425
28234,-80.41881611,37.19254473
28235,-80.42163824,37.23264985
28236,-80.39004137,37.20643699
35022,-80.17007786,37.23728648
27863,-80.58412392,37.07467364
27864,-80.59313942,37.11704384
27865,-80.53026736,37.1232618
22746,-80.03936819,37.27486086
24667,-80.0982875,37.28254032
34780,-80.42554462,37.23394443
22749,-80.03070621,37.27986304
24677,-80.03029314,37.27958549
22759,-80.02716697,37.29393532
34665,-80.32760989,37.13407857
34666,-80.32739653,37.13412504
25966,-80.6145671,37.11414283
22747,-80.02985547,37.28943522
34810,-80.39790868,37.1192675
34811,-80.44554849,37.25929655
34812,-80.44460014,37.22961721
34813,-80.4200647,37.21014027
34814,-80.42270364,37.17076573
34815,-80.41152767,37.15259022
