source,target
171524810,51121100000
51121100000,51121100001
51121100001,51121100002
51121100002,51121100003
51121100003,51121100004
51121100004,51121100005
51121100005,51121100006
51121100006,51121100007
51121100007,51121100008
51121100008,51121100009
51121100009,51121100010
51121100010,51121100011
51121100011,918459968
171523130,51121100012
51121100012,51121100013
51121100013,51121100014
51121100014,51121100015
51121100015,171523148
171525503,51121100016
51121100016,51121100017
51121100017,51121100018
51121100018,51121100019
51121100019,51121100020
51121100020,51121100021
51121100021,51121100022
51121100022,51121100023
51121100023,51121100024
51121100024,918459968
171523444,51121100025
51121100025,171523431
171535576,51121100026
51121100026,51121100027
51121100027,51121100028
51121100028,51121100029
51121100029,51121100030
51121100030,51121100031
51121100031,51121100032
51121100032,275214060
171520861,51121100033
51121100033,51121100034
51121100034,51121100035
51121100035,51121100036
51121100036,171520867
1135213065,51121100037
51121100037,1135213064
171523130,51121100038
51121100038,51121100039
51121100039,51121100040
51121100040,919930580
24867100,51121100041
51121100041,51121100042
51121100042,24867098
171520861,51121100043
51121100043,51121100044
51121100044,51121100045
51121100045,171520868
335454632,51121100046
51121100046,51121100047
51121100047,51121100048
51121100048,171520783
171523148,51121100049
51121100049,275173956
275174427,51121100050
51121100050,51121100051
51121100051,51121100052
51121100052,51121100053
51121100053,51121100054
51121100054,275174429
1135213064,51121100055
51121100055,51121100056
51121100056,51121100057
51121100057,51121100058
51121100058,171522919
171522896,51121100059
51121100059,914902969
171520798,51121100060
51121100060,51121100061
51121100061,51121100062
51121100062,51121100063
51121100063,51121100064
51121100064,171520818
914902969,51121100065
51121100065,51121100066
51121100066,51121100067
51121100067,51121100068
51121100068,51121100069
51121100069,51121100070
51121100070,275173985
917381190,51121100071
51121100071,51121100072
51121100072,917381191
171517984,51121100073
51121100073,51121100074
51121100074,51121100075
51121100075,51121100076
51121100076,171518024
275986873,51121100077
51121100077,51121100078
51121100078,51121100079
51121100079,51121100080
51121100080,51121100081
51121100081,24880019
335454632,51121100082
51121100082,335454639
976097047,51121100083
51121100083,243540693
24869949,51121100084
51121100084,51121100085
51121100085,51121100086
51121100086,51121100087
51121100087,51121100088
51121100088,51121100089
51121100089,275173985
171521578,51121100090
51121100090,171521582
275507773,51121100091
51121100091,51121100092
51121100092,51121100093
51121100093,51121100094
51121100094,51121100095
51121100095,51121100096
51121100096,51121100097
51121100097,51121100098
51121100098,51121100099
51121100099,51121100100
51121100100,338857256
275449128,51121100101
51121100101,51121100102
51121100102,51121100103
51121100103,51121100104
51121100104,171521524
915001790,51121100105
51121100105,51121100106
51121100106,51121100107
51121100107,51121100108
51121100108,51121100109
51121100109,51121100110
51121100110,51121100111
51121100111,51121100112
51121100112,51121100113
51121100113,51121100114
51121100114,171524810
976097049,51121100115
51121100115,51121100116
51121100116,51121100117
51121100117,51121100118
51121100118,976097048
171521514,51121100119
51121100119,51121100120
51121100120,51121100121
51121100121,51121100122
51121100122,51121100123
51121100123,51121100124
51121100124,171521524
171520798,51121100125
51121100125,51121100126
51121100126,51121100127
51121100127,51121100128
51121100128,51121100129
51121100129,171520820
171521582,51121100130
51121100130,51121100131
51121100131,275449074
171521585,51121100132
51121100132,171521582
275507773,51121100133
51121100133,51121100134
51121100134,51121100135
51121100135,51121100136
51121100136,51121100137
51121100137,51121100138
51121100138,51121100139
51121100139,24880489
171517984,51121100140
51121100140,51121100141
51121100141,51121100142
51121100142,51121100143
51121100143,51121100144
51121100144,51121100145
51121100145,51121100146
51121100146,51121100147
51121100147,1084043537
171524691,51121100148
51121100148,51121100149
51121100149,51121100150
51121100150,275986873
171520820,51121100151
51121100151,51121100152
51121100152,51121100153
51121100153,51121100154
51121100154,171520801
24884783,51121100155
51121100155,51121100156
51121100156,51121100157
51121100157,51121100158
51121100158,51121100159
51121100159,51121100160
51121100160,171535026
24867108,51121100161
51121100161,51121100162
51121100162,51121100163
51121100163,24867100
171521493,51121100164
51121100164,51121100165
51121100165,51121100166
51121100166,171521472
915025739,51121100167
51121100167,915025737
915017055,51121100168
51121100168,915017052
243540994,51121100169
51121100169,243540974
221975732,51121100170
51121100170,51121100171
51121100171,51121100172
51121100172,51121100173
51121100173,51121100174
51121100174,51121100175
51121100175,51121100176
51121100176,51121100177
51121100177,24867001
915009605,51121100178
51121100178,51121100179
51121100179,51121100180
51121100180,918458226
171523509,51121100181
51121100181,51121100182
51121100182,51121100183
51121100183,51121100184
51121100184,171523580
171523550,51121100185
51121100185,51121100186
51121100186,171523222
335458060,51121100187
51121100187,51121100188
51121100188,51121100189
51121100189,51121100190
51121100190,335458083
171535026,51121100191
51121100191,51121100192
51121100192,51121100193
51121100193,51121100194
51121100194,51121100195
51121100195,51121100196
51121100196,171535137
24867108,51121100197
51121100197,51121100198
51121100198,51121100199
51121100199,51121100200
51121100200,216604152
171522666,51121100201
51121100201,51121100202
51121100202,171522671
335458061,51121100203
51121100203,335458073
335458061,51121100204
51121100204,51121100205
51121100205,335458060
335458061,51121100206
51121100206,51121100207
51121100207,335458082
171522675,51121100208
51121100208,51121100209
51121100209,51121100210
51121100210,171522671
171522675,51121100211
51121100211,51121100212
51121100212,51121100213
51121100213,51121100214
51121100214,51121100215
51121100215,338858754
275173902,51121100216
51121100216,243540997
171534522,51121100217
51121100217,171534502
171522543,51121100218
51121100218,51121100219
51121100219,51121100220
51121100220,51121100221
51121100221,51121100222
51121100222,51121100223
51121100223,51121100224
51121100224,51121100225
51121100225,171522671
243540995,51121100226
51121100226,51121100227
51121100227,51121100228
51121100228,51121100229
51121100229,243540997
171522543,51121100230
51121100230,51121100231
51121100231,51121100232
51121100232,51121100233
51121100233,51121100234
51121100234,51121100235
51121100235,915020678
1004420025,51121100236
51121100236,51121100237
51121100237,51121100238
51121100238,51121100239
51121100239,171535893
918458224,51121100240
51121100240,51121100241
51121100241,51121100242
51121100242,171518026
24884972,51121100243
51121100243,51121100244
51121100244,215648815
915016097,51121100245
51121100245,51121100246
51121100246,915016098
171520798,51121100247
51121100247,51121100248
51121100248,215650275
171520827,51121100249
51121100249,51121100250
51121100250,243541397
915025736,51121100251
51121100251,51121100252
51121100252,915025737
335458060,51121100253
51121100253,275212605
976093693,51121100254
51121100254,51121100255
51121100255,976093694
275212604,51121100256
51121100256,275212605
1111486329,51121100257
51121100257,51121100258
51121100258,51121100259
51121100259,51121100260
51121100260,51121100261
51121100261,51121100262
51121100262,51121100263
51121100263,51121100264
51121100264,1111486330
243540974,51121100265
51121100265,243540992
171534678,51121100266
51121100266,915017052
171526532,51121100267
51121100267,51121100268
51121100268,51121100269
51121100269,171526554
1045480282,51121100270
51121100270,1045480285
171518006,51121100271
51121100271,51121100272
51121100272,1084043537
1045480283,51121100273
51121100273,1045480282
918458223,51121100274
51121100274,171518006
1045480298,51121100275
51121100275,1045479720
215640595,51121100276
51121100276,215640596
275174433,51121100277
51121100277,275174427
916282551,51121100278
51121100278,51121100279
51121100279,51121100280
51121100280,51121100281
51121100281,51121100282
51121100282,51121100283
51121100283,171522919
171523580,51121100284
51121100284,915024138
918458224,51121100285
51121100285,918458226
915017053,51121100286
51121100286,51121100287
51121100287,915017057
171519823,51121100288
51121100288,51121100289
51121100289,171519829
979795802,51121100290
51121100290,979795801
915020792,51121100291
51121100291,915020791
171523566,51121100292
51121100292,171523561
915020800,51121100293
51121100293,915020792
171535118,51121100294
51121100294,51121100295
51121100295,171535137
243541397,51121100296
51121100296,335455108
171535342,51121100297
51121100297,51121100298
51121100298,51121100299
51121100299,979795801
171519501,51121100300
51121100300,51121100301
51121100301,51121100302
51121100302,51121100303
51121100303,51121100304
51121100304,51121100305
51121100305,51121100306
51121100306,51121100307
51121100307,51121100308
51121100308,171519631
915017054,51121100309
51121100309,915017056
171535026,51121100310
51121100310,51121100311
51121100311,51121100312
51121100312,915025532
915029401,51121100313
51121100313,51121100314
51121100314,918508170
171519823,51121100315
51121100315,51121100316
51121100316,171519524
171535694,51121100317
51121100317,51121100318
51121100318,51121100319
51121100319,51121100320
51121100320,51121100321
51121100321,51121100322
51121100322,51121100323
51121100323,918508170
275214060,51121100324
51121100324,51121100325
51121100325,957598844
915017125,51121100326
51121100326,915017120
24867132,51121100327
51121100327,51121100328
51121100328,51121100329
51121100329,275502241
1060295005,51121100330
51121100330,275502247
171523395,51121100331
51121100331,51121100332
51121100332,51121100333
51121100333,51121100334
51121100334,51121100335
51121100335,51121100336
51121100336,51121100337
51121100337,51121100338
51121100338,51121100339
51121100339,915038052
171519739,51121100340
51121100340,51121100341
51121100341,51121100342
51121100342,979698926
335455111,51121100343
51121100343,335455108
335454701,51121100344
51121100344,171520801
979698922,51121100345
51121100345,51121100346
51121100346,979698923
335455111,51121100347
51121100347,243541398
171520674,51121100348
51121100348,51121100349
51121100349,51121100350
51121100350,51121100351
51121100351,51121100352
51121100352,51121100353
51121100353,51121100354
51121100354,51121100355
51121100355,51121100356
51121100356,51121100357
51121100357,171520600
976095127,51121100358
51121100358,51121100359
51121100359,51121100360
51121100360,51121100361
51121100361,51121100362
51121100362,976095128
275214060,51121100363
51121100363,51121100364
51121100364,976095127
243541398,51121100365
51121100365,335455108
916282551,51121100366
51121100366,51121100367
51121100367,51121100368
51121100368,51121100369
51121100369,51121100370
51121100370,51121100371
51121100371,51121100372
51121100372,51121100373
51121100373,51121100374
51121100374,171535100
171520785,51121100375
51121100375,51121100376
51121100376,917381190
171520798,51121100377
51121100377,171520801
338858857,51121100378
51121100378,51121100379
51121100379,1060286992
171520658,51121100380
51121100380,51121100381
51121100381,51121100382
51121100382,171520674
843736726,51121100383
51121100383,51121100384
51121100384,171521324
221993694,51121100385
51121100385,51121100386
51121100386,51121100387
51121100387,51121100388
51121100388,51121100389
51121100389,51121100390
51121100390,51121100391
51121100391,51121100392
51121100392,51121100393
51121100393,915028135
171519621,51121100394
51121100394,51121100395
51121100395,171519824
24867136,51121100396
51121100396,51121100397
51121100397,976096275
24884738,51121100398
51121100398,51121100399
51121100399,51121100400
51121100400,51121100401
51121100401,171534835
915038053,51121100402
51121100402,51121100403
51121100403,915038052
171519739,51121100404
51121100404,51121100405
51121100405,51121100406
51121100406,51121100407
51121100407,51121100408
51121100408,1045496769
171526481,51121100409
51121100409,51121100410
51121100410,51121100411
51121100411,51121100412
51121100412,51121100413
51121100413,51121100414
51121100414,51121100415
51121100415,51121100416
51121100416,51121100417
51121100417,915035990
221993702,51121100418
51121100418,51121100419
51121100419,221993694
171521323,51121100420
51121100420,171521324
171520360,51121100421
51121100421,51121100422
51121100422,51121100423
51121100423,51121100424
51121100424,51121100425
51121100425,51121100426
51121100426,51121100427
51121100427,51121100428
51121100428,51121100429
51121100429,221993702
918469868,51121100430
51121100430,51121100431
51121100431,51121100432
51121100432,51121100433
51121100433,918469869
171534835,51121100434
51121100434,51121100435
51121100435,51121100436
51121100436,51121100437
51121100437,51121100438
51121100438,51121100439
51121100439,51121100440
51121100440,51121100441
51121100441,51121100442
51121100442,51121100443
51121100443,51121100444
51121100444,51121100445
51121100445,171534665
843736726,51121100446
51121100446,171521396
843736727,51121100447
51121100447,51121100448
51121100448,843736726
843736727,51121100449
51121100449,171521385
171519627,51121100450
51121100450,171519621
171521322,51121100451
51121100451,843736727
171534456,51121100452
51121100452,51121100453
51121100453,51121100454
51121100454,51121100455
51121100455,51121100456
51121100456,51121100457
51121100457,51121100458
51121100458,51121100459
51121100459,171534479
171521323,51121100460
51121100460,51121100461
51121100461,275502249
918469869,51121100462
51121100462,51121100463
51121100463,51121100464
51121100464,51121100465
51121100465,51121100466
51121100466,915026025
171534460,51121100467
51121100467,51121100468
51121100468,51121100469
51121100469,51121100470
51121100470,51121100471
51121100471,51121100472
51121100472,51121100473
51121100473,51121100474
51121100474,51121100475
51121100475,915037058
171519823,51121100476
51121100476,171519621
915038052,51121100477
51121100477,51121100478
51121100478,51121100479
51121100479,51121100480
51121100480,51121100481
51121100481,51121100482
51121100482,979698922
171519612,51121100483
51121100483,51121100484
51121100484,171519627
843736727,51121100485
51121100485,171521324
1045488543,51121100486
51121100486,1060080278
335455525,51121100487
51121100487,51121100488
51121100488,335455536
243541329,51121100489
51121100489,51121100490
51121100490,335455498
171519627,51121100491
51121100491,51121100492
51121100492,171519634
335455554,51121100493
51121100493,51121100494
51121100494,335460619
171523106,51121100495
51121100495,51121100496
51121100496,335456382
335455498,51121100497
51121100497,275505988
335455493,51121100498
51121100498,51121100499
51121100499,51121100500
51121100500,335455521
243541330,51121100501
51121100501,335455498
171523106,51121100502
51121100502,51121100503
51121100503,51121100504
51121100504,335456375
171521323,51121100505
51121100505,171521320
24866094,51121100506
51121100506,51121100507
51121100507,51121100508
51121100508,196301652
171523330,51121100509
51121100509,171523318
338857893,51121100510
51121100510,51121100511
51121100511,338857885
171523394,51121100512
51121100512,51121100513
51121100513,51121100514
51121100514,51121100515
51121100515,51121100516
51121100516,171523330
338857893,51121100517
51121100517,51121100518
51121100518,171522122
171522122,51121100519
51121100519,338857885
171522121,51121100520
51121100520,171522098
338869909,51121100521
51121100521,51121100522
51121100522,51121100523
51121100523,51121100524
51121100524,171519392
171523318,51121100525
51121100525,51121100526
51121100526,51121100527
51121100527,916275560
24866094,51121100528
51121100528,51121100529
51121100529,171516269
171523394,51121100530
51121100530,51121100531
51121100531,51121100532
51121100532,51121100533
51121100533,171523395
171522122,51121100534
51121100534,171522125
171519862,51121100535
51121100535,51121100536
51121100536,51121100537
51121100537,51121100538
51121100538,171519860
171522122,51121100539
51121100539,171522121
171523318,51121100540
51121100540,51121100541
51121100541,51121100542
51121100542,51121100543
51121100543,171523291
915040491,51121100544
51121100544,51121100545
51121100545,51121100546
51121100546,51121100547
51121100547,171522337
24866094,51121100548
51121100548,51121100549
51121100549,51121100550
51121100550,51121100551
51121100551,338858852
171522110,51121100552
51121100552,51121100553
51121100553,51121100554
51121100554,51121100555
51121100555,171522193
275499150,51121100556
51121100556,171519361
171519862,51121100557
51121100557,51121100558
51121100558,171519863
275173951,51121100559
51121100559,171523156
171534583,51121100560
51121100560,51121100561
51121100561,51121100562
51121100562,51121100563
51121100563,51121100564
51121100564,171534663
275173956,51121100565
51121100565,51121100566
51121100566,24870094
171519715,51121100567
51121100567,171519719
171519867,51121100568
51121100568,51121100569
51121100569,171519863
338858856,51121100570
51121100570,51121100571
51121100571,51121100572
51121100572,51121100573
51121100573,51121100574
51121100574,51121100575
51121100575,51121100576
51121100576,171519887
915040492,51121100577
51121100577,51121100578
51121100578,51121100579
51121100579,51121100580
51121100580,51121100581
51121100581,51121100582
51121100582,915040505
171523170,51121100583
51121100583,51121100584
51121100584,51121100585
51121100585,51121100586
51121100586,51121100587
51121100587,171523211
171527044,51121100588
51121100588,51121100589
51121100589,51121100590
51121100590,51121100591
51121100591,171527043
171527015,51121100592
51121100592,51121100593
51121100593,51121100594
51121100594,51121100595
51121100595,51121100596
51121100596,51121100597
51121100597,51121100598
51121100598,915024003
171520587,51121100599
51121100599,51121100600
51121100600,221993694
915040813,51121100601
51121100601,51121100602
51121100602,915040814
171523473,51121100603
51121100603,51121100604
51121100604,171523475
171523156,51121100605
51121100605,171523169
338858860,51121100606
51121100606,51121100607
51121100607,51121100608
51121100608,171521311
171523475,51121100609
51121100609,51121100610
51121100610,51121100611
51121100611,171523416
1045496770,51121100612
51121100612,51121100613
51121100613,51121100614
51121100614,51121100615
51121100615,51121100616
51121100616,51121100617
51121100617,171519739
171519599,51121100618
51121100618,51121100619
51121100619,51121100620
51121100620,51121100621
51121100621,51121100622
51121100622,948233012
24867100,51121100623
51121100623,51121100624
51121100624,51121100625
51121100625,51121100626
51121100626,51121100627
51121100627,51121100628
51121100628,171520988
171519366,51121100629
51121100629,51121100630
51121100630,171519369
171519355,51121100631
51121100631,51121100632
51121100632,51121100633
51121100633,51121100634
51121100634,171519345
1045496772,51121100635
51121100635,51121100636
51121100636,51121100637
51121100637,51121100638
51121100638,51121100639
51121100639,1045496771
171519715,51121100640
51121100640,51121100641
51121100641,51121100642
51121100642,976093250
171519371,51121100643
51121100643,171519354
171519369,51121100644
51121100644,171519348
976096712,51121100645
51121100645,976093250
171519631,51121100646
51121100646,51121100647
51121100647,51121100648
51121100648,51121100649
51121100649,948233012
171521527,51121100650
51121100650,171521524
171521524,51121100651
51121100651,171521521
335455493,51121100652
51121100652,243541329
171522168,51121100653
51121100653,171522196
171521528,51121100654
51121100654,51121100655
51121100655,51121100656
51121100656,171521527
1045480265,51121100657
51121100657,1045480260
171520547,51121100658
51121100658,171520785
171522185,51121100659
51121100659,51121100660
51121100660,171522166
171520820,51121100661
51121100661,51121100662
51121100662,51121100663
51121100663,976093693
171522196,51121100664
51121100664,51121100665
51121100665,51121100666
51121100666,171522219
171522194,51121100667
51121100667,51121100668
51121100668,171522196
1045480260,51121100669
51121100669,1045480267
918461175,51121100670
51121100670,51121100671
51121100671,915005259
24880534,51121100672
51121100672,51121100673
51121100673,171526742
24880019,51121100674
51121100674,51121100675
51121100675,51121100676
51121100676,915001790
918461175,51121100677
51121100677,51121100678
51121100678,335462279
171519441,51121100679
51121100679,275499218
171519441,51121100680
51121100680,51121100681
51121100681,51121100682
51121100682,171519417
171521514,51121100683
51121100683,51121100684
51121100684,51121100685
51121100685,51121100686
51121100686,51121100687
51121100687,51121100688
51121100688,338858502
171519357,51121100689
51121100689,51121100690
51121100690,171519359
275499218,51121100691
51121100691,51121100692
51121100692,51121100693
51121100693,51121100694
51121100694,51121100695
51121100695,171519433
171521519,51121100696
51121100696,51121100697
51121100697,51121100698
51121100698,51121100699
51121100699,171521514
335455521,51121100700
51121100700,335455525
171522168,51121100701
51121100701,171522219
335455521,51121100702
51121100702,51121100703
51121100703,335455554
243541335,51121100704
51121100704,51121100705
51121100705,335455557
243541335,51121100706
51121100706,335455556
171519361,51121100707
51121100707,51121100708
51121100708,51121100709
51121100709,51121100710
51121100710,171519343
171521527,51121100711
51121100711,51121100712
51121100712,51121100713
51121100713,51121100714
51121100714,171521558
24867185,51121100715
51121100715,51121100716
51121100716,51121100717
51121100717,51121100718
51121100718,51121100719
51121100719,171522076
216610571,51121100720
51121100720,51121100721
51121100721,51121100722
51121100722,51121100723
51121100723,215647986
338858856,51121100724
51121100724,51121100725
51121100725,51121100726
51121100726,51121100727
51121100727,51121100728
51121100728,51121100729
51121100729,51121100730
51121100730,1060363312
171516056,51121100731
51121100731,51121100732
51121100732,51121100733
51121100733,51121100734
51121100734,916275492
1045498300,51121100735
51121100735,171521561
916253003,51121100736
51121100736,916253004
243541696,51121100737
51121100737,51121100738
51121100738,51121100739
51121100739,51121100740
51121100740,171524691
171521514,51121100741
51121100741,275501038
335454380,51121100742
51121100742,51121100743
51121100743,51121100744
51121100744,335454379
1045488539,51121100745
51121100745,1060080278
338858858,51121100746
51121100746,51121100747
51121100747,51121100748
51121100748,335454358
171521578,51121100749
51121100749,51121100750
51121100750,51121100751
51121100751,1045498300
171519886,51121100752
51121100752,51121100753
51121100753,51121100754
51121100754,51121100755
51121100755,171519867
171516067,51121100756
51121100756,51121100757
51121100757,51121100758
51121100758,51121100759
51121100759,915040813
