hid,longitude,latitude,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
511210205002368,-80.388245,37.252934,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6257.49,9112.94,13914.46,6070.0,6132.57,4254.99,4005.0
51121020500819,-80.38976,37.25141,24.58,36.99,49.62,55.82,62.03,93.08,77.57,62.28,46.98,7.09,4.36,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,964.67,1172.99,1048.07,23.91
51121020500825,-80.38855,37.252617,24.58,36.99,49.62,55.82,62.03,93.08,77.57,245.92,46.98,7.09,4.36,923.0,1673.42,923.0,923.0,923.0,5723.04,9202.25,924.89,2206.38,1844.24,1068.9,923.0,23.91
51121020500827,-80.388435,37.25256,191.31,36.99,49.62,55.82,62.03,93.08,77.57,62.28,46.98,7.09,4.36,954.28,985.5,1172.99,1172.99,1089.73,1172.99,1172.99,923.07,923.0,923.0,985.5,1048.07,23.91
51121020500828,-80.38922,37.251987,24.58,36.99,49.62,55.82,62.03,93.08,584.29,1516.83,296.97,7.16,4.36,923.0,943.83,1152.23,923.0,923.0,985.5,2539.78,1048.64,1286.74,1173.06,1059.32,923.0,23.91
51121020500817,-80.390114,37.25081,2096.13,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2769.0,2769.0,2769.0,2769.0,2881.5,2769.07,2769.0,2769.0,2769.0,3002.4,2994.13,2977.33,2200.16,1846.0
51121020500815,-80.39062,37.250996,24.58,36.99,49.62,55.82,62.03,93.08,77.57,962.28,1997.9,7.09,4.36,1035.5,1172.99,1172.99,1110.57,923.0,923.0,2623.02,9064.44,2668.87,1110.5,1027.23,923.0,23.91
51121020500674,-80.37331,37.248905,923.0,9.51,20.14,26.35,32.55,63.16,44.99,26.6,8.2,1214.66,1131.4,923.03,973.0,1172.99,1173.06,1172.99,1172.99,1172.99,1634.49,1509.57,1048.0,958.45,1048.0,923.0
51121020500677,-80.37364000000002,37.249012,923.0,9.51,20.14,26.35,32.55,63.16,44.99,26.6,8.2,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1690.31,1384.5,1384.5,923.0,923.0,923.0,923.0
51121020500782,-80.37661999999997,37.25140800000001,24.58,36.99,49.62,55.82,62.03,93.08,2844.56,7282.41,1408.88,7.09,4.36,923.0,943.83,1090.12,923.0,923.0,923.0,923.0,923.0,923.0,1115.3,979.28,1023.07,23.91
51121020500783,-80.37719,37.25117,24.58,36.99,49.62,55.82,62.03,93.08,77.57,62.28,46.98,7.09,4.36,923.0,943.83,1172.99,1402.65,923.0,923.0,923.0,924.46,1940.31,1172.99,1172.99,2634.1800000000003,23.91
51121020500784,-80.377785,37.251198,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,425.31,233.4,150.0,399.99,399.99,399.99,399.99,1042.38,316.73,399.99,441.66,233.47,150.0,275.0,150.0
51121020500785,-80.37865,37.25127,24.58,36.99,49.62,55.82,62.03,93.08,77.57,62.28,46.98,1982.41,6804.099999999999,2284.9,923.0,1198.42,1823.0,1823.5,923.0,923.0,923.0,2073.02,923.64,1156.33,1422.99,23.91
51121020500789,-80.378654,37.251682,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2391.07,3226.5,1846.0,2112.9700000000003,2769.03,3632.74,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,3182.9700000000003,3018.99,2908.69,3018.99,1908.57,1846.0
51121020500786,-80.37966999999998,37.25089000000001,212.15,36.99,49.62,55.82,62.03,93.08,77.57,62.28,413.9500000000001,7.09,4.36,1035.5,1172.99,1172.99,1110.57,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1131.33,23.91
51121020500788,-80.38001,37.250896,24.58,36.99,49.62,55.82,62.03,93.08,77.57,62.28,46.98,7.09,4.36,923.0,1173.42,923.0,964.7,923.0,964.67,2668.67,1172.99,1172.99,1068.9,1048.07,985.57,23.91
