hid,longitude,latitude,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
5112102020275,-80.42546,37.19066,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2769.0,2769.0,2769.0,2977.33,3018.99,3018.99,3018.99,3018.99,2769.07,2769.0,2977.33,3018.99,1846.07,1846.0
5112102020271,-80.4251,37.190865,2769.0,2769.0,1846.0,1846.0,1846.0,78.44,1846.0,1846.0,2079.33,2103.05,2769.0,2769.0,2769.0,2769.0,3099.0,3189.41,2769.0,3018.99,3018.99,3018.99,2769.07,2769.0,2769.0,2769.0
5112102020268,-80.42499000000001,37.190933,12.39,23.47,34.77,40.75,46.52,77.12,60.06,134.66,676.2299999999999,5473.44,6818.07,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1384.5,923.0,923.0,923.0,923.0,3.74
51121020202507,-80.41875,37.189087,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,6945.94,6816.26,2935.73,3019.0,2894.42,2769.0,3002.33,3236.05,3919.02,2769.64,4569.0,2894.57,2956.5,2956.57,1846.0,1846.0
51121020202515,-80.41809,37.188713,1846.0,1846.0,1846.0,1846.0,1846.0,3166.0,2418.4700000000003,1846.0,1846.0,1846.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,5035.6900000000005,8645.74,1846.0
51121020202508,-80.4184,37.18886,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,25.93,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1384.5,923.0,923.0,964.67,1006.4,3.74
5112102020276,-80.42525,37.19111,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,434.57,1048.07,923.0,923.0,923.0,923.0,923.0,923.0,1131.33,1089.73,1509.57,1031.33,1064.73,1156.33,1048.07,3.74
51121020202555,-80.41795,37.18905,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,25.93,923.0,923.0,1093.83,1172.99,1172.99,1172.99,1172.99,1172.99,1172.99,1634.49,1172.99,1172.99,1152.23,1172.99,3.74
51121020202503,-80.41723,37.189056,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,25.93,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1384.5,923.0,923.0,1052.16,1043.9,3.74
51121020202552,-80.41703000000001,37.189236,4005.0,4005.0,4005.0,4005.0,4005.0,4162.64,4034.93,4005.0,4005.0,4005.0,6007.5,6007.5,6051.87,6240.48,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6132.5,6132.57,4005.0,4005.0
51121020202553,-80.41733,37.18886,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,25.93,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1384.5,923.0,923.0,923.0,923.0,3.74
5112102020245,-80.41493,37.190804,3018.99,3018.99,1846.07,1846.0,1846.0,78.44,1846.0,1846.0,1846.0,1846.0,3669.0,3669.5,2956.5,3018.99,3018.99,3018.99,3018.99,3383.04,2769.0,3018.99,3018.99,3018.99,3018.99,2769.0
5112102020246,-80.415276,37.190502,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,301.24,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,943.83,1634.49,1055.15,1172.99,1020.15,923.0,3.74
5112102020247,-80.41512,37.190434,2769.0,2769.0,1846.0,1846.0,1846.0,78.44,1846.0,3153.11,1846.0,1846.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,3018.99,3018.99,2769.07,2769.0,2769.0,3018.99,2769.0
5112102020255,-80.415276,37.19049,150.0,150.0,150.0,150.0,150.0,425.31,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,808.97,399.99,275.07,150.0
5112102020240,-80.41496,37.190903000000006,12.39,23.47,34.77,40.75,46.52,77.12,437.48,42.99,25.93,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1572.0,985.57,1006.33,1172.99,1048.07,3.74
5112102020278,-80.41492,37.19136,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,733.33,640.39,150.0,150.0,150.0,1108.35,725.64,275.0,399.99,399.99,399.99,212.57,150.0
5112102020241,-80.41405,37.191013,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,337.90000000000003,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,1509.5,1172.99,1885.57,2011.07,923.0,3.74
5112102020242,-80.41350600000001,37.191505,12.39,23.47,34.77,40.75,46.52,77.12,60.06,42.99,25.93,923.0,923.0,923.0,923.0,1027.16,1048.0,1048.0,985.53,943.87,1384.5,2073.66,1706.73,1089.73,923.0,3.74
