hid,longitude,latitude,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
511690304001674,-82.72202,36.658348,6007.5,6007.5,4080.0,4130.07,4005.0,4005.0,4005.0,4005.0,6257.49,6257.49,6215.9,6257.49,6257.49,6132.57,6257.49,6257.49,6215.9,6257.49,6257.49,7207.57,6608.0,6028.33,6257.49,6007.5
511690304001673,-82.365776,36.765427,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,5529.17,5621.14,5437.5,5437.5,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8281.25,8156.28,8156.25,8156.25,5437.5
511690304001676,-82.67452,36.674296999999996,2769.0,1846.0,1846.0,1846.0,1846.0,1846.0,5246.04,9333.0,2896.42,2769.0,2769.0,2769.0,2769.0,2837.75,2825.28,2769.0,2769.0,2769.0,3919.66,3018.99,3018.99,2769.07,2769.0,2769.0
511690304001675,-82.41206,36.767776,6007.5,4005.0,4005.0,4005.0,4005.0,4005.0,4280.31,4005.0,4005.0,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6007.5,6276.47,6132.5,6132.57,6382.49,6507.49,6382.59,6007.5
511690304001678,-82.57345600000001,36.726715000000006,8156.25,8156.25,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,5437.5,8856.65,8156.25,8156.25,8156.25,8156.25,8156.25,8156.25,8158.33,8406.24,8406.24,8406.24,8406.24,8175.07,8156.25
511690304001677,-82.494286,36.757915000000004,6007.5,4067.5,4130.07,4005.0,4005.0,4005.0,4005.0,4005.0,4130.0,6257.49,6257.49,6413.85,6632.91,6257.56,6007.57,6007.5,6215.83,9317.53,13867.23,7742.02,6007.5,6007.5,6223.54,6007.5
511690304001679,-82.35811,36.760513,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,3219.0,5819.52,9860.4,4589.3,2894.14,1846.0,1846.0
51169030500149,-82.43003,36.615590000000005,2769.0,2769.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0
51169030500148,-82.43195,36.613823,923.0,923.0,923.0,923.0,923.0,24.16,13.07,2.22,923.0,923.0,923.0,923.0,923.0,923.0,923.0,7156.14,4676.67,923.0,1384.5,1959.5,1635.13,1110.57,1048.0,923.0
51169030500147,-82.44561999999999,36.615353000000006,2769.0,2769.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,2894.07,2769.0,2769.0,2769.0,2769.0,4052.38,3586.07,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2956.5,2769.0
