HID,source,target
51121020900347,171524810.0,918459968.0
511210203001806,171523130.0,171523148.0
511210203001805,171523130.0,171523148.0
51121020900330,171525503.0,918459968.0
511210203001807,171523130.0,171523148.0
51121020900346,171524810.0,918459968.0
51121021300403,171523431.0,171523444.0
51121021300402,171535576.0,275214060.0
51121020900345,171524810.0,918459968.0
51121020900340,171524810.0,918459968.0
511210207001187,171520861.0,171520867.0
51121020900336,171525503.0,918459968.0
51121020900344,171524810.0,918459968.0
51121021300401,1135213064.0,1135213065.0
511210203001803,171523130.0,171523148.0
51121020900341,171524810.0,918459968.0
51121020900349,171524810.0,918459968.0
511210203001809,171523130.0,919930580.0
511210207001189,24867100.0,24867098.0
511210207001188,171520861.0,171520868.0
511210203001804,171523130.0,171523148.0
511210207001186,24867100.0,24867098.0
511210207001185,24867100.0,24867098.0
511210207001169,335454632.0,171520783.0
51121020900348,171524810.0,918459968.0
51121020900342,171524810.0,918459968.0
511210207001184,24867100.0,24867098.0
511210203001802,171523148.0,275173956.0
51121020900343,171524810.0,918459968.0
51121020900331,171525503.0,918459968.0
511210203001819,275174427.0,275174429.0
511210207001183,24867100.0,24867098.0
51121020900332,171525503.0,918459968.0
511210207001181,171520861.0,171520868.0
511210203001808,171523130.0,171523148.0
511210207001182,171520861.0,171520867.0
511210207001180,24867100.0,24867098.0
511210203001800,275174427.0,275174429.0
511210203001801,171523148.0,275173956.0
51121021300400,171522919.0,1135213064.0
51121020900339,171524810.0,918459968.0
511210203001812,171522896.0,914902969.0
511210207001174,171520798.0,171520818.0
51121020900338,171524810.0,918459968.0
511210203001811,171523130.0,919930580.0
511210203001814,275173985.0,914902969.0
51121020900337,171525503.0,918459968.0
511210203001813,171522896.0,914902969.0
511210207001173,917381190.0,917381191.0
51121020900363,171517984.0,171518024.0
51121020900368,275986873.0,24880019.0
511210203001815,275173985.0,914902969.0
51121020900364,275986873.0,24880019.0
51121020900369,275986873.0,24880019.0
511210207001170,335454632.0,335454639.0
51121020900333,171525503.0,918459968.0
511210207001179,171520798.0,171520818.0
51121020900365,243540693.0,976097047.0
51121020900335,171525503.0,918459968.0
511210203001818,275173985.0,24869949.0
51121020900362,171517984.0,171518024.0
511210203001821,275174427.0,275174429.0
51121020900366,275986873.0,24880019.0
51121020900361,171517984.0,171518024.0
511210207001171,917381190.0,917381191.0
511210207001159,171520798.0,171520818.0
51121020900367,275986873.0,24880019.0
511210204001693,335454379.0,1035031950.0
51121020900360,171517984.0,171518024.0
511210204001690,171521578.0,171521582.0
511210204001692,335454379.0,1035031950.0
51121020900358,171517984.0,171518024.0
511210207001178,171520798.0,171520818.0
51121020900354,171524810.0,918459968.0
511210207001162,275507773.0,338857256.0
51121020900357,171517984.0,171518024.0
511210204001699,275449128.0,171521524.0
51121020900351,915001790.0,171524810.0
51121020900352,976097049.0,976097048.0
511210203001816,275173985.0,914902969.0
51121020900355,171524810.0,918459968.0
51121020900359,171517984.0,171518024.0
511210204001697,171521514.0,171521524.0
51121020900356,171524810.0,918459968.0
511210207001177,171520798.0,171520820.0
511210207001158,171520798.0,171520818.0
511210204001689,171521582.0,275449074.0
51121020900350,171524810.0,918459968.0
511210207001163,275507773.0,338857256.0
51121020900334,171525503.0,918459968.0
511210207001136,171520798.0,171520818.0
511210204001691,171521585.0,171521582.0
51121020900353,915001790.0,171524810.0
511210207001160,171520798.0,171520818.0
511210207001175,171520798.0,171520818.0
511210204001695,335454379.0,1035031950.0
511210203001820,275174427.0,275174429.0
511210207001176,171520798.0,171520818.0
511210207001172,917381190.0,917381191.0
511210207001161,275507773.0,338857256.0
511210203001846,275173985.0,24869949.0
511210207001156,275507773.0,24880489.0
51121020900303,171517984.0,1084043537.0
51121020900307,171524691.0,275986873.0
51121020900301,171525503.0,918459968.0
511210207001147,171520820.0,171520801.0
51121021300436,24884783.0,171535026.0
511210207001168,335454632.0,171520783.0
511210207001154,24867108.0,24867100.0
511210204001698,171521493.0,171521472.0
51121020900304,171517984.0,1084043537.0
51121021300431,915025737.0,915025739.0
511210207001152,171520820.0,171520801.0
511210207001138,171520798.0,171520818.0
51121021300434,24884783.0,171535026.0
51121020900300,171525503.0,918459968.0
511210207001148,171520820.0,171520801.0
511210207001166,275507773.0,338857256.0
511210207001167,275507773.0,338857256.0
51121020900302,171525503.0,918459968.0
511210207001165,275507773.0,338857256.0
511210207001155,24867108.0,24867100.0
511210204001696,171521514.0,171521524.0
51121021300435,24884783.0,171535026.0
51121020900306,275986873.0,24880019.0
