HID,TID
51121020900347,370
511210203001806,776
511210203001805,1231
51121020900330,8
511210203001807,1231
51121020900346,1322
51121021300403,804
51121021300402,229
51121020900345,370
51121020900340,1322
511210207001187,212
51121020900336,8
51121020900344,1322
51121021300401,126
511210203001803,776
51121020900341,370
51121020900349,1322
511210203001809,1231
511210207001189,212
511210207001188,212
511210203001804,776
511210207001186,212
511210207001185,212
511210207001169,392
51121020900348,1322
51121020900342,370
511210207001184,212
511210203001802,439
51121020900343,1322
51121020900331,846
511210203001819,776
511210207001183,212
51121020900332,8
511210207001181,212
511210203001808,1231
511210207001182,212
511210207001180,212
511210203001800,334
511210203001801,439
51121021300400,126
51121020900339,1322
511210203001812,890
511210207001174,1295
51121020900338,370
511210203001811,334
511210203001814,1003
51121020900337,8
511210203001813,890
511210207001173,104
51121020900363,1081
51121020900368,645
511210203001815,1003
51121020900364,645
51121020900369,645
511210207001170,1295
51121020900333,8
511210207001179,1295
51121020900365,645
51121020900335,8
511210203001818,128
51121020900362,1081
511210203001821,334
51121020900366,645
51121020900361,1081
511210207001171,104
511210207001159,1295
51121020900367,645
511210204001693,947
51121020900360,1081
511210204001690,851
511210204001692,1145
51121020900358,1081
511210207001178,1295
51121020900354,1085
511210207001162,482
51121020900357,1081
511210204001699,353
51121020900351,35
51121020900352,35
511210203001816,1003
51121020900355,1085
51121020900359,1081
511210204001697,353
51121020900356,1085
511210207001177,1295
511210207001158,1295
511210204001689,851
51121020900350,1322
511210207001163,482
51121020900334,8
511210207001136,1360
511210204001691,851
51121020900353,35
511210207001160,1295
511210207001175,1360
511210204001695,947
511210203001820,334
511210207001176,1295
511210207001172,104
511210207001161,482
511210203001846,128
511210207001156,1479
51121020900303,1081
51121020900307,645
51121020900301,846
511210207001147,1150
51121021300436,1321
511210207001168,1295
511210207001154,469
511210204001698,353
51121020900304,1081
51121021300431,590
511210207001152,1295
511210207001138,1360
51121021300434,1321
51121020900300,846
511210207001148,1150
511210207001166,482
511210207001167,482
51121020900302,846
511210207001165,482
511210207001155,469
511210204001696,353
51121021300435,1321
51121020900306,645
51121021300426,531
51121021300432,590
51121021300430,590
511210207001164,482
511210207001151,1295
511210207001149,1295
511210207001140,613
511210207001153,1295
511210203001845,128
511210207001143,816
511210203001850,128
51121020900309,176
51121021300427,804
511210207001145,613
