node,x,y
24866246,-80.42497,37.11602
171517591,-80.42336,37.11614
24865004,-80.51161,37.09744
24864985,-80.51767,37.09862
24881642,-80.22841,37.23895
24883404,-80.22069,37.24065
24866280,-80.41977,37.11646
19452130,-80.57637,37.09122
24862194,-80.57553,37.09159
19452131,-80.57518,37.09134
24862250,-80.57269,37.09232
24862191,-80.5762,37.09094
19452132,-80.57234,37.09246
19452133,-80.57357,37.09243
24862251,-80.57276,37.09276
24864967,-80.52654,37.09898
24864974,-80.52326,37.09902
24864973,-80.52313,37.09851
24864966,-80.5265,37.09858
24864977,-80.52093,37.09838
19452135,-80.52097,37.09893
19452136,-80.51877,37.09819
24865005,-80.50999,37.09668
19452137,-80.51153,37.09705
24865474,-80.50358,37.09551
19452138,-80.5099,37.09703
24865473,-80.50381,37.09525
24865476,-80.50306,37.09508
24865477,-80.5029,37.09535
24866245,-80.42596,37.11565
19452141,-80.42496,37.11577
24866256,-80.42335,37.11592
24866277,-80.4198,37.11621
24866278,-80.41897,37.11628
19452148,-80.23984,37.23039
24881576,-80.23883,37.23155
24881532,-80.24027,37.23046
19452149,-80.23921,37.23157
24881596,-80.23652,37.23428
24881610,-80.23604,37.23485
24881598,-80.23681,37.23439
19452150,-80.23634,37.23496
196348657,-80.22835,37.23923
19452153,-80.22077,37.24092
221977902,-80.35055,37.14278
215617202,-80.34769,37.14388
221977952,-80.35933,37.1342
221977901,-80.35147,37.14262
24883467,-80.20529,37.24845
275121465,-80.51867,37.09874
215616312,-80.51773,37.09807
309601383,-80.54309,37.0996
309601384,-80.54303,37.09997
196348600,-80.33536,37.14882
24880328,-80.32242,37.15985
311295453,-80.27339,37.19284
311295454,-80.27362,37.19312
196985562,-80.26871,37.19743
221977950,-80.36154,37.13308
221977949,-80.36335,37.13226
221977898,-80.3837,37.12486
311295462,-80.37813,37.12625
311295471,-80.46667,37.10152
309601492,-80.42897,37.11566
215616412,-80.46645,37.10122
309601491,-80.42893,37.11541
328008201,-80.37,37.12911
221977923,-80.36319,37.13204
328008207,-80.37022,37.12902
838370824,-80.26824,37.19877
838614300,-80.37563,37.12721
196985665,-80.32504,37.15551
838614302,-80.32452,37.15651
24880327,-80.32274,37.15999
24862056,-80.58004,37.08963
842042772,-80.57769,37.09065
24862053,-80.57993,37.08934
842042773,-80.57751,37.09038
848140796,-80.21772,37.2413
24883466,-80.20498,37.24817
850819045,-80.38799,37.12439
850819046,-80.38621,37.12443
196985645,-80.34229,37.14635
850821550,-80.34062,37.14701
850821551,-80.33877,37.14772
196985643,-80.34344,37.14588
854302367,-80.34778,37.14411
854302368,-80.34335,37.14566
215616799,-80.38486,37.12448
854302475,-80.38366,37.12462
854302476,-80.38488,37.12475
309601494,-80.41729,37.11683
872159575,-80.38831,37.12464
880277673,-80.36136,37.13288
221977920,-80.35905,37.13409
880277681,-80.34215,37.14614
880294703,-80.38605,37.12443
880294704,-80.38606,37.12469
898652606,-80.35182,37.14222
898728559,-80.36481,37.13158
918464468,-80.28278,37.18644
19452142,-80.41895,37.11657
1128369682,-80.41788,37.11673
1128369751,-80.41954,37.11649
19452140,-80.42604,37.11594
1128369829,-80.42526,37.116
1128369830,-80.42782,37.11576
1128370060,-80.428,37.11548
1128370081,-80.42735,37.11554
1128370226,-80.41532,37.11689
309601493,-80.41721,37.1165
1128370376,-80.41621,37.11669
1128370388,-80.41859,37.11631
328008209,-80.37096,37.12923
196987533,-80.37086,37.12991
196987499,-80.36939,37.12695
24880035,-80.37433,37.1272
850819049,-80.38197,37.12482
850819584,-80.38143,37.12492
838614299,-80.37662,37.12636
196987535,-80.36949,37.12835
24880083,-80.36914,37.12917
196987016,-80.36847,37.13095
850821674,-80.36791,37.13097
196987010,-80.36551,37.1315
171525346,-80.35222,37.14251
850821554,-80.34787,37.14418
851319473,-80.34728,37.14441
196987536,-80.36978,37.1284
328008203,-80.37075,37.12859
196987561,-80.36994,37.12964
196987534,-80.37062,37.12998
196987081,-80.37299,37.12933
196987093,-80.37378,37.13329
24866808,-80.43977,37.22338
24866815,-80.4401,37.22449
24866803,-80.43995,37.2232
24866814,-80.44033,37.22446
19452157,-80.44053,37.22721
24866833,-80.44056,37.22794
171522632,-80.46137,37.28579
24869751,-80.46735,37.28601
171522631,-80.4614,37.28561
171522512,-80.46733,37.2858
24870053,-80.41814,37.27225
24870105,-80.41803,37.27341
196987031,-80.37472,37.13425
24880073,-80.37505,37.13449
215640428,-80.45308,37.28438
24869933,-80.4491,37.28259
24869916,-80.44914,37.28248
215640429,-80.45314,37.28429
24869950,-80.44174,37.28047
215640477,-80.44272,37.28127
24869949,-80.44173,37.28033
215640487,-80.4428,37.28122
24870104,-80.4182,37.2734
24870094,-80.41907,37.27561
24870095,-80.41897,37.27568
24866828,-80.4408,37.22718
215640787,-80.44081,37.22794
24866837,-80.44049,37.23096
24866859,-80.4402,37.23104
221977840,-80.40949,37.15257
221977842,-80.41103,37.15343
222001831,-80.40934,37.15273
222001729,-80.41035,37.15321
222001740,-80.41359,37.16131
222001834,-80.41446,37.16447
171518531,-80.41487,37.16573
222001748,-80.41589,37.16815
171518526,-80.41511,37.16569
222001774,-80.41611,37.16805
221975724,-80.40686,37.19608
222001886,-80.41066,37.1986
222001827,-80.4022,37.18589
222001888,-80.40197,37.1865
222001828,-80.40196,37.18584
222001890,-80.40177,37.18639
222001914,-80.40664,37.19618
24867001,-80.41051,37.19876
24880063,-80.38232,37.13973
216615398,-80.39368,37.14676
215640377,-80.47851,37.28494
24869734,-80.47891,37.28512
215640357,-80.47848,37.28506
24869735,-80.47877,37.28519
215640595,-80.43236,37.27873
275173902,-80.43804,37.2793
215640596,-80.43237,37.27862
275173907,-80.43807,37.27917
24870050,-80.41881,37.27102
275500967,-80.41872,37.27121
24870048,-80.41859,37.27097
275500968,-80.41851,37.27116
24866870,-80.43212,37.21307
275504932,-80.43535,37.21653
275504933,-80.43522,37.21663
215640651,-80.41835,37.27212
275991836,-80.40891,37.17984
275991837,-80.40874,37.17967
221993776,-80.41193,37.15454
221993773,-80.41326,37.15912
222001733,-80.41167,37.15454
222001835,-80.41469,37.16443
222001749,-80.41631,37.16909
222001745,-80.41532,37.17529
335455195,-80.41657,37.16904
222001765,-80.4154,37.17551
275173954,-80.41971,37.27626
24870088,-80.42085,37.27701
275173951,-80.41968,37.27639
24870091,-80.42077,37.27711
335456494,-80.37972,37.13788
215640604,-80.423,37.27776
215640615,-80.42298,37.27763
171519997,-80.43142,37.24591
820452158,-80.43082,37.24652
338858792,-80.42961,37.24804
820452160,-80.43322,37.24394
171520039,-80.43126,37.24579
820452161,-80.43056,37.24653
820452162,-80.43334,37.24406
24880069,-80.37773,37.13645
838857549,-80.37881,37.13723
844678783,-80.42015,37.26761
844678784,-80.42814,37.21004
24866873,-80.43196,37.21315
844678785,-80.43255,37.21373
844679536,-80.42025,37.26788
844679684,-80.43603,37.21729
844679685,-80.43122,37.21225
848140646,-80.46808,37.28593
851344830,-80.41335,37.15948
221993771,-80.41382,37.16127
851345214,-80.41422,37.16274
851371180,-80.40526,37.15221
851371181,-80.40504,37.15221
171518834,-80.40485,37.15221
851371182,-80.4053,37.152
171518836,-80.40505,37.152
196987003,-80.37439,37.13373
851499423,-80.37489,37.1341
335456495,-80.37985,37.13773
851499425,-80.3814,37.13886
838788560,-80.40305,37.15186
196987055,-80.37926,37.13727
851499426,-80.37963,37.13757
854302369,-80.37913,37.13746
851499424,-80.37624,37.1351
854302370,-80.37786,37.13627
863501721,-80.40397,37.15221
863501722,-80.40115,37.15132
222001739,-80.41311,37.15951
880294288,-80.41333,37.16033
880294289,-80.41356,37.16029
880294290,-80.40397,37.15199
880294698,-80.37562,37.1349
880294700,-80.37578,37.13477
948233015,-80.4379,37.23711
948233016,-80.43773,37.23698
948234914,-80.4405,37.22682
948234918,-80.4179,37.20344
948236716,-80.42634,37.25452
948245281,-80.42614,37.25446
948246760,-80.42137,37.2649
338858791,-80.42927,37.24816
948247534,-80.42726,37.25201
948259916,-80.40303,37.19373
948259917,-80.40311,37.19354
948234917,-80.4181,37.20334
1045448563,-80.42611,37.20842
1045448564,-80.42595,37.20857
1062903868,-80.41461,37.17585
1062903869,-80.4149,37.1759
1127675922,-80.37404,37.13348
1127702091,-80.41657,37.20235
1127706886,-80.41301,37.15913
1127787578,-80.42943,37.24796
1127787579,-80.42946,37.24824
24880206,-80.35657,37.1381
24880242,-80.35476,37.14066
24880142,-80.35878,37.13402
24880185,-80.3564,37.13683
196987500,-80.36923,37.12697
24880085,-80.36586,37.13057
24880037,-80.37929,37.12601
171525349,-80.34971,37.14291
196987528,-80.37153,37.1309
850819047,-80.36941,37.12908
850819585,-80.36856,37.12941
850819586,-80.3761,37.12655
850821553,-80.35362,37.14165
850821555,-80.36422,37.13209
842040660,-80.3637,37.13234
850821675,-80.37103,37.13163
850833690,-80.37472,37.12775
851322338,-80.37049,37.1294
851322337,-80.37049,37.1294
851322339,-80.37224,37.13247
24880241,-80.35383,37.14054
851342058,-80.35317,37.14109
851342059,-80.36506,37.13096
842040661,-80.36309,37.13189
851342060,-80.35912,37.13379
851342061,-80.35557,37.13823
851342062,-80.36521,37.13164
851342063,-80.37544,37.12747
851342065,-80.3701,37.12883
838614301,-80.36992,37.12859
851342064,-80.3701,37.12883
851342066,-80.36942,37.1279
24880143,-80.35946,37.13443
851497928,-80.35718,37.13705
851499741,-80.37095,37.13037
221993646,-80.3711,37.13056
851628620,-80.37341,37.12878
880277672,-80.36171,37.13324
880277674,-80.36122,37.13274
918458222,-80.35112,37.1423
1127675923,-80.36973,37.12869
1127693066,-80.37125,37.13049
1127693067,-80.37139,37.13095
1127787577,-80.37361,37.13342
24865463,-80.50726,37.09757
24865440,-80.50729,37.09496
24866272,-80.42218,37.1168
171517588,-80.42331,37.11549
222001874,-80.41578,37.16525
222001854,-80.41282,37.16599
24865435,-80.50662,37.09352
24865434,-80.50684,37.09357
24864625,-80.45862,37.08289
216616300,-80.4599,37.08365
216600904,-80.46319,37.08609
24864616,-80.46377,37.08664
171513792,-80.49069,37.0881
216600992,-80.49475,37.09204
335463082,-80.49744,37.09389
24865475,-80.50252,37.09462
24865551,-80.46875,37.08821
24864266,-80.48364,37.08813
24864259,-80.48648,37.08744
24864243,-80.48737,37.08693
216600937,-80.48838,37.08704
216600960,-80.50545,37.09466
1127865129,-80.50631,37.09366
24864640,-80.45285,37.07896
1127865139,-80.45309,37.07919
171515160,-80.5159,37.17149
24865824,-80.51834,37.17154
215673769,-80.52051,37.17145
171515087,-80.52185,37.17137
215673770,-80.52146,37.17139
171515071,-80.52651,37.17114
171515072,-80.52643,37.17114
216615350,-80.50711,37.17089
171515168,-80.50931,37.17104
243541981,-80.50653,37.17085
171515584,-80.50362,37.17067
275095097,-80.53242,37.17082
171514866,-80.53212,37.17084
275984058,-80.52859,37.17105
216615349,-80.51314,37.17131
171515077,-80.52427,37.17124
275984045,-80.5261,37.17115
335463992,-80.53599,37.17028
24862782,-80.54027,37.16765
335464004,-80.53952,37.16866
335464045,-80.53844,37.16964
335464050,-80.5371,37.17019
24865245,-80.54016,37.16754
335463996,-80.53937,37.16854
