TID,source,target,longitude,latitude
0,335454386,171522939,-80.42436,37.25447
1,171524691,915009499,-80.38496915017573,37.11153229983725
2,215646662,215646663,-80.28471124639708,37.212301520474824
3,171516890,171516751,-80.44717783916927,37.1284517079773
4,24865605,851480000,-80.53224029334876,37.18021055465697
5,915021356,915021360,-80.40522,37.15808
6,171513253,24864901,-80.52958033539619,37.09421092115827
7,171522066,171522061,-80.39172432354971,37.22415511550554
8,914991682,914991683,-80.30188000000001,37.12948
9,171519744,949531428,-80.43724396353906,37.21605476825732
10,915044849,916276336,-80.2243177774192,37.20367204297605
11,24864674,216601200,-80.44001515418809,37.053735588275735
12,171535342,979795801,-80.29164903256986,37.29823518936929
13,915037029,915037030,-80.36638,37.26686
14,335455705,171519590,-80.46473075857394,37.2432907661808
15,171520355,889535582,-80.41039418215381,37.185627607137846
16,275989505,335459828,-80.38182268803875,37.040693774321824
17,915018388,171526481,-80.37360649154094,37.18041240470123
18,171517389,328012379,-80.43907,37.15204
19,216616792,171525748,-80.34434496223676,37.13852432176114
20,171518213,171518118,-80.41608896551149,37.135844787019096
21,848632042,918461176,-80.54811660707401,37.02127471846848
22,171510036,915028073,-80.60018301933782,37.21668652021629
23,171529923,171529932,-80.25079685766434,37.17070272828461
24,171514494,915041722,-80.47808123307404,37.151181302152935
25,171515934,171515491,-80.51107922404206,37.21686315918298
26,915030681,915030682,-80.36628,37.227309999999996
27,171531467,275509867,-80.2104454521949,37.22743270510015
28,243541065,915031593,-80.44514716200013,37.2626260985971
29,171524498,171524436,-80.32703937478622,37.073853278095065
30,335455500,171525010,-80.3823764886377,37.13155435151892
31,918464437,914987890,-80.48824472659298,37.023816538942036
32,171518987,171518997,-80.46534650538953,37.20627669141791
33,171530589,171530585,-80.21205652144803,37.11406764895001
34,216600819,171516578,-80.44051,37.09086
35,171523170,171523211,-80.41767438191397,37.27756524541572
36,171515403,915037830,-80.54698380134279,37.23664995201722
37,171529589,171529569,-80.30255,37.244170000000004
38,243540243,851850712,-80.258933156239,37.26265797234938
39,171521694,171521675,-80.40791234725462,37.23809957352344
40,171515160,171513682,-80.51536421024069,37.16650568058776
41,275975502,275975503,-80.42456999999999,37.16964
42,1135213086,1135213088,-80.32052462428194,37.356972488772996
43,914994755,914994758,-80.2766649537496,37.09852391917177
44,275506467,243541363,-80.39653996292168,37.20581828921615
45,24865551,24864266,-80.48013098580141,37.088148852997705
46,171523336,917381669,-80.3925379422549,37.257560330316174
47,171526408,171526378,-80.30817779134901,37.160113286414536
48,171519367,171519365,-80.45290639156876,37.21212221293305
49,171512573,914988025,-80.41332899712614,37.03819385886069
50,171519634,171519832,-80.44504818625617,37.2343974232818
51,24864203,171511666,-80.50263287642868,37.05487759889147
52,171521256,171521263,-80.40857005112218,37.22441646733167
53,24880515,243540553,-80.33141741532994,37.19398673536816
54,24884728,171534640,-80.3465088261214,37.25692670832955
55,275983397,275983404,-80.36472684019495,37.132495994555605
56,275213666,915043475,-80.38652061005973,37.28072533927924
57,915040813,171516178,-80.49207,37.23767
58,171518600,171518612,-80.39859,37.13237847472695
59,338857532,338857527,-80.4131407950362,37.109675173012846
60,171525928,171525910,-80.32508183998569,37.14189637023374
