State,County,Latitude,Longitude
Alabama,Autauga County,32.536382,-86.64449
Alabama,Baldwin County,30.659218,-87.74606
Alabama,Barbour County,31.87067,-85.40545
Alabama,Bibb County,33.015893,-87.12714
Alabama,Blount County,33.977448,-86.56724
Alabama,Bullock County,32.101759,-85.71726
Alabama,Butler County,31.751667,-86.68196
Alabama,Calhoun County,33.771706,-85.82251
Alabama,Chambers County,32.917943,-85.39181
Alabama,Cherokee County,34.069515,-85.65424
Alabama,Chilton County,32.85406,-86.72662
Alabama,Choctaw County,31.991008,-88.24888
Alabama,Clarke County,31.685521,-87.81862
Alabama,Clay County,33.267809,-85.86205
Alabama,Cleburne County,33.671981,-85.5161
Alabama,Coffee County,31.402183,-85.9892
Alabama,Colbert County,34.703112,-87.80145
Alabama,Conecuh County,31.428293,-86.99202
Alabama,Coosa County,32.931445,-86.24348
Alabama,Covington County,31.243987,-86.44872
Alabama,Crenshaw County,31.732826,-86.31922
Alabama,Cullman County,34.131923,-86.86926
Alabama,Dale County,31.430654,-85.60947
Alabama,Dallas County,32.33354,-87.11435
Alabama,DeKalb County,34.460929,-85.80399
Alabama,Elmore County,32.597229,-86.14273
Alabama,Escambia County,31.121748,-87.16842
Alabama,Etowah County,34.047638,-86.03442
Alabama,Fayette County,33.732249,-87.75204
Alabama,Franklin County,34.441988,-87.84281
Alabama,Geneva County,31.090866,-85.82434
Alabama,Greene County,32.844497,-87.9642
Alabama,Hale County,32.752796,-87.62306
Alabama,Henry County,31.516978,-85.23997
Alabama,Houston County,31.158193,-85.29639
Alabama,Jackson County,34.763522,-85.9774
Alabama,Jefferson County,33.553444,-86.89653
Alabama,Lamar County,33.787085,-88.08743
Alabama,Lauderdale County,34.904122,-87.65099
Alabama,Lawrence County,34.529776,-87.32186
Alabama,Lee County,32.604064,-85.35304
Alabama,Limestone County,34.810239,-86.9814
Alabama,Lowndes County,32.147888,-86.65058
Alabama,Macon County,32.387027,-85.69288
Alabama,Madison County,34.764238,-86.55108
Alabama,Marengo County,32.247591,-87.79109
Alabama,Marion County,34.138219,-87.88155
Alabama,Marshall County,34.309564,-86.32166
Alabama,Mobile County,30.684573,-88.19656
Alabama,Monroe County,31.580332,-87.38326
Alabama,Montgomery County,32.203651,-86.20383
Alabama,Morgan County,34.454484,-86.8464
Alabama,Perry County,32.639005,-87.29382
Alabama,Pickens County,33.296809,-88.09687
Alabama,Pike County,31.798726,-85.94199
Alabama,Randolph County,33.296475,-85.46406
Alabama,Russell County,32.289811,-85.18698
Alabama,St. Clair County,33.712963,-86.31566
Alabama,Shelby County,33.262937,-86.6781
Alabama,Sumter County,32.597481,-88.20005
Alabama,Talladega County,33.369277,-86.1758
Alabama,Tallapoosa County,32.863369,-85.79955
Alabama,Tuscaloosa County,33.290202,-87.52286
Alabama,Walker County,33.791571,-87.30109
Alabama,Washington County,31.406974,-88.20207
Alabama,Wilcox County,31.99033,-87.3022
Alabama,Winston County,34.155888,-87.36414
Alaska,Aleutians East County,55.243722,-161.95074
Alaska,Aleutians West County,51.959447,-78.33881
Alaska,Anchorage County,61.177549,-149.27435
Alaska,Bethel County,60.928916,-160.15335
Alaska,Bristol Bay County,58.731373,-156.98661
Alaska,Denali County,63.682732,-150.02671
Alaska,Dillingham County,59.824816,-158.60223
Alaska,Fairbanks North Star County,64.690832,-146.59986
Alaska,Haines County,59.099905,-135.5781
Alaska,Hoonah-Angoon County,58.076434,-135.1851
Alaska,Juneau County,58.3727,-134.17878
Alaska,Kenai Peninsula County,60.366373,-152.32197
Alaska,Ketchikan Gateway County,55.449938,-131.10668
Alaska,Kodiak Island County,57.553611,-153.63091
Alaska,Lake and Peninsula County,58.205065,-156.70518
Alaska,Matanuska-Susitna County,62.182174,-149.40797
Alaska,Nome County,64.783686,-164.18891
Alaska,North Slope County,69.449343,-153.47283
Alaska,Northwest Arctic County,67.005066,-160.02108
Alaska,Petersburg County,56.639612,-133.52799
Alaska,Prince of Wales-Hyder County,55.415683,-132.87573
Alaska,Sitka County,57.142509,-135.33262
Alaska,Skagway County,59.575097,-135.33541
Alaska,Southeast Fairbanks County,63.864997,-143.21862
Alaska,Valdez-Cordova County,61.34984,-145.02314
Alaska,Wade Hampton County,62.283174,-163.19095
Alaska,Wrangell County,56.279121,-132.04032
Alaska,Yakutat County,59.999083,-140.23959
Alaska,Yukon-Koyukuk County,65.376131,-151.57685
Arizona,Apache County,35.385845,-109.49374
Arizona,Cochise County,31.881793,-109.75412
Arizona,Coconino County,35.829692,-111.77372
Arizona,Gila County,33.789618,-110.81187
Arizona,Graham County,32.931828,-109.87831
Arizona,Greenlee County,33.238872,-109.24232
Arizona,La Paz County,33.727625,-114.03879
Arizona,Maricopa County,33.346541,-112.49553
Arizona,Mohave County,35.717705,-113.74968
Arizona,Navajo County,35.390934,-110.3209
Arizona,Pima County,32.128237,-111.78301
Arizona,Pinal County,32.91891,-111.36725
Arizona,Santa Cruz County,31.525904,-110.84519
Arizona,Yavapai County,34.630044,-112.57374
Arizona,Yuma County,32.773942,-113.9109
Arkansas,Arkansas County,34.289574,-91.37654
Arkansas,Ashley County,33.190835,-91.77226
Arkansas,Baxter County,36.28071,-92.33043
Arkansas,Benton County,36.337825,-94.25618
Arkansas,Boone County,36.304308,-93.0792
Arkansas,Bradley County,33.463819,-92.16816
Arkansas,Calhoun County,33.56046,-92.51387
Arkansas,Carroll County,36.337774,-93.54166
Arkansas,Chicot County,33.267139,-91.29715
Arkansas,Clark County,34.053312,-93.1762
Arkansas,Clay County,36.367302,-90.4187
Arkansas,Cleburne County,35.566288,-92.05997
Arkansas,Cleveland County,33.893201,-92.18871
Arkansas,Columbia County,33.21507,-93.2269
Arkansas,Conway County,35.265702,-92.68924
Arkansas,Craighead County,35.828268,-90.63041
Arkansas,Crawford County,35.583041,-94.23622
Arkansas,Crittenden County,35.211878,-90.31533
Arkansas,Cross County,35.291259,-90.77389
Arkansas,Dallas County,33.967823,-92.65399
Arkansas,Desha County,33.828748,-91.24442
Arkansas,Drew County,33.587242,-91.72277
Arkansas,Faulkner County,35.146356,-92.32465
Arkansas,Franklin County,35.508573,-93.88767
Arkansas,Fulton County,36.383443,-91.81923
Arkansas,Garland County,34.578861,-93.14691
Arkansas,Grant County,34.288063,-92.42398
Arkansas,Greene County,36.119922,-90.56524
Arkansas,Hempstead County,33.728611,-93.6658
Arkansas,Hot Spring County,34.315177,-92.94414
Arkansas,Howard County,34.083179,-93.99098
Arkansas,Independence County,35.737499,-91.55994
Arkansas,Izard County,36.094879,-91.91362
Arkansas,Jackson County,35.596605,-91.22317
Arkansas,Jefferson County,34.277696,-91.9307
Arkansas,Johnson County,35.573359,-93.46632
Arkansas,Lafayette County,33.24066,-93.61164
Arkansas,Lawrence County,36.041098,-91.10115
Arkansas,Lee County,34.77975,-90.77928
Arkansas,Lincoln County,33.957665,-91.72762
Arkansas,Little River County,33.699497,-94.22977
Arkansas,Logan County,35.21855,-93.72056
Arkansas,Lonoke County,34.755114,-91.89413
Arkansas,Madison County,36.012545,-93.72405
Arkansas,Marion County,36.266656,-92.67858
Arkansas,Miller County,33.305505,-93.9015
Arkansas,Mississippi County,35.766943,-90.0522
Arkansas,Monroe County,34.679513,-91.20331
Arkansas,Montgomery County,34.545652,-93.66414
Arkansas,Nevada County,33.666699,-93.30507
Arkansas,Newton County,35.910063,-93.21508
Arkansas,Ouachita County,33.591158,-92.87841
Arkansas,Perry County,34.946363,-92.92687
Arkansas,Phillips County,34.425842,-90.84838
Arkansas,Pike County,34.158191,-93.65865
Arkansas,Poinsett County,35.568981,-90.68059
Arkansas,Polk County,34.490915,-94.23088
Arkansas,Pope County,35.455297,-93.03153
Arkansas,Prairie County,34.828225,-91.5572
Arkansas,Pulaski County,34.773988,-92.31651
Arkansas,Randolph County,36.341299,-91.02844
Arkansas,St. Francis County,35.014438,-90.74219
Arkansas,Saline County,34.648525,-92.67446
Arkansas,Scott County,34.858869,-94.06364
Arkansas,Searcy County,35.90966,-92.69935
Arkansas,Sebastian County,35.196981,-94.27498
Arkansas,Sevier County,33.994608,-94.24329
Arkansas,Sharp County,36.173399,-91.47106
Arkansas,Stone County,35.856989,-92.14049
Arkansas,Union County,33.168219,-92.59814
Arkansas,Van Buren County,35.582959,-92.51597
Arkansas,Washington County,35.971209,-94.21841
Arkansas,White County,35.254722,-91.75315
Arkansas,Woodruff County,35.189071,-91.24441
Arkansas,Yell County,34.997713,-93.4083
California,Alameda County,37.648081,-121.9133
California,Alpine County,38.61761,-119.79899
California,Amador County,38.44355,-120.65385
California,Butte County,39.665959,-121.60191
California,Calaveras County,38.187844,-120.55511
California,Colusa County,39.177739,-122.23756
California,Contra Costa County,37.919479,-121.95154
California,Del Norte County,41.749903,-123.98099
California,El Dorado County,38.785532,-120.53439
California,Fresno County,36.761006,-119.65501
California,Glenn County,39.602546,-122.4017
California,Humboldt County,40.706673,-123.92581
California,Imperial County,33.040816,-115.35539
California,Inyo County,36.561977,-117.40392
California,Kern County,35.346629,-118.7295
California,Kings County,36.072478,-119.81553
California,Lake County,39.094802,-122.74675
California,Lassen County,40.721089,-120.62993
California,Los Angeles County,34.196398,-118.26186
California,Madera County,37.210039,-119.74985
California,Marin County,38.051817,-122.74597
California,Mariposa County,37.570034,-119.91286
California,Mendocino County,39.432388,-123.44288
California,Merced County,37.194806,-120.7228
California,Modoc County,41.592919,-120.71837
California,Mono County,37.915836,-118.87516
California,Monterey County,36.240107,-121.31557
California,Napa County,38.507351,-122.32599
California,Nevada County,39.295191,-120.77344
California,Orange County,33.675687,-117.7772
California,Placer County,39.062032,-120.72271
California,Plumas County,39.99517,-120.82951
California,Riverside County,33.729828,-116.00223
California,Sacramento County,38.450011,-121.34044
California,San Benito County,36.610702,-121.08529
California,San Bernardino County,34.85722,-116.18119
California,San Diego County,33.023604,-116.77611
California,San Francisco County,37.727239,-123.03222
California,San Joaquin County,37.935034,-121.27223
California,San Luis Obispo County,35.385227,-120.44754
California,San Mateo County,37.414664,-122.37154
California,Santa Barbara County,34.537378,-120.03848
California,Santa Clara County,37.220777,-121.69062
California,Santa Cruz County,37.012488,-122.0072
California,Shasta County,40.760522,-122.04355
California,Sierra County,39.576925,-120.52199
California,Siskiyou County,41.587986,-122.53328
California,Solano County,38.267226,-121.93959
California,Sonoma County,38.532574,-122.94519
California,Stanislaus County,37.562384,-121.00265
California,Sutter County,39.035257,-121.70275
California,Tehama County,40.126156,-122.23227
California,Trinity County,40.647724,-123.1144
California,Tulare County,36.230453,-118.78054
California,Tuolumne County,38.021451,-119.9647
California,Ventura County,34.358742,-119.13314
California,Yolo County,38.679268,-121.90317
California,Yuba County,39.270026,-121.34428
Colorado,Adams County,39.874325,-104.33187
Colorado,Alamosa County,37.568442,-105.78804
Colorado,Arapahoe County,39.644632,-104.33173
Colorado,Archuleta County,37.202395,-107.05086
Colorado,Baca County,37.303144,-102.53545
Colorado,Bent County,37.931891,-103.07758
Colorado,Boulder County,40.094826,-105.39838
Colorado,Broomfield County,39.953383,-105.05212
Colorado,Chaffee County,38.738246,-106.31697
Colorado,Cheyenne County,38.835387,-102.60458
Colorado,Clear Creek County,39.689403,-105.67079
Colorado,Conejos County,37.213407,-106.17644
Colorado,Costilla County,37.277547,-105.42894
Colorado,Crowley County,38.321956,-103.78756
Colorado,Custer County,38.101994,-105.37351
Colorado,Delta County,38.861756,-107.86475
Colorado,Denver County,39.761849,-104.88062
Colorado,Dolores County,37.747602,-108.53038
Colorado,Douglas County,39.326435,-104.92619
Colorado,Eagle County,39.630638,-106.69294
Colorado,Elbert County,39.310817,-104.11792
Colorado,El Paso County,38.827383,-104.52747
Colorado,Fremont County,38.455658,-105.42143
Colorado,Garfield County,39.599352,-107.90978
Colorado,Gilpin County,39.861082,-105.52894
Colorado,Grand County,40.123289,-106.09587
Colorado,Gunnison County,38.669679,-107.0781
Colorado,Hinsdale County,37.811625,-107.3834
Colorado,Huerfano County,37.687815,-104.95992
Colorado,Jackson County,40.663432,-106.32924
Colorado,Jefferson County,39.58646,-105.2456
Colorado,Kiowa County,38.388466,-102.75621
Colorado,Kit Carson County,39.30534,-102.60302
Colorado,Lake County,39.204316,-106.34969
Colorado,La Plata County,37.287367,-107.83971
Colorado,Larimer County,40.663091,-105.48213
Colorado,Las Animas County,37.318831,-104.04411
Colorado,Lincoln County,38.99374,-103.50755
Colorado,Logan County,40.728091,-103.09046
Colorado,Mesa County,39.019492,-108.46183
Colorado,Mineral County,37.651478,-106.9323
Colorado,Moffat County,40.573984,-108.20452
Colorado,Montezuma County,37.338025,-108.59578
Colorado,Montrose County,38.413427,-108.26304
Colorado,Morgan County,40.262354,-103.80709
Colorado,Otero County,37.88417,-103.72126
Colorado,Ouray County,38.1506,-107.76713
Colorado,Park County,39.118914,-105.71764
Colorado,Phillips County,40.594712,-102.3451
Colorado,Pitkin County,39.217533,-106.91594
Colorado,Prowers County,37.958181,-102.39216
Colorado,Pueblo County,38.170658,-104.48989
Colorado,Rio Blanco County,39.972606,-108.20068
Colorado,Rio Grande County,37.485763,-106.45321
Colorado,Routt County,40.48316,-106.98528
Colorado,Saguache County,38.033952,-106.24667
Colorado,San Juan County,37.781075,-107.67025
Colorado,San Miguel County,38.009374,-108.42732
Colorado,Sedgwick County,40.871568,-102.35535
Colorado,Summit County,39.621023,-106.13755
Colorado,Teller County,38.871994,-105.18255
Colorado,Washington County,39.965413,-103.2096
Colorado,Weld County,40.555794,-104.38364
Colorado,Yuma County,40.000631,-102.42264
Connecticut,Fairfield County,41.228103,-73.36675
Connecticut,Hartford County,41.806053,-72.73291
Connecticut,Litchfield County,41.791897,-73.23542
Connecticut,Middlesex County,41.434525,-72.52422
Connecticut,New Haven County,41.349717,-72.9002
Connecticut,New London County,41.47863,-72.10345
Connecticut,Tolland County,41.858076,-72.34097
Connecticut,Windham County,41.824999,-71.9907
Delaware,Kent County,39.097088,-75.50298
Delaware,New Castle County,39.575915,-75.64413
Delaware,Sussex County,38.677511,-75.33549
District of Columbia,District of Columbia,38.904149,-77.01709
Florida,Alachua County,29.67574,-82.35722
Florida,Baker County,30.324442,-82.30228
Florida,Bay County,30.237563,-85.63134
Florida,Bradford County,29.946934,-82.16679
Florida,Brevard County,28.298276,-80.70038
Florida,Broward County,26.19352,-80.47665
Florida,Calhoun County,30.388801,-85.19791
Florida,Charlotte County,26.868826,-81.94085
Florida,Citrus County,28.843628,-82.52479
Florida,Clay County,29.987116,-81.85814
Florida,Collier County,26.118713,-81.40088
Florida,Columbia County,30.221305,-82.62312
Florida,DeSoto County,27.190581,-81.80625
Florida,Dixie County,29.580899,-83.19566
Florida,Duval County,30.335245,-81.64811
Florida,Escambia County,30.611664,-87.33904
Florida,Flagler County,29.474894,-81.28636
Florida,Franklin County,29.810176,-84.79917
Florida,Gadsden County,30.57917,-84.61278
Florida,Gilchrist County,29.723456,-82.7958
Florida,Glades County,26.95481,-81.19082
Florida,Gulf County,29.907257,-85.25653
Florida,Hamilton County,30.491102,-82.95104
Florida,Hardee County,27.492846,-81.82158
Florida,Hendry County,26.53934,-81.15158
Florida,Hernando County,28.567911,-82.46483
Florida,Highlands County,27.342627,-81.34092
Florida,Hillsborough County,27.90659,-82.34956
Florida,Holmes County,30.866222,-85.81295
Florida,Indian River County,27.700638,-80.5748
Florida,Jackson County,30.787812,-85.21037
Florida,Jefferson County,30.424558,-83.89085
Florida,Lafayette County,29.990066,-83.17851
Florida,Lake County,28.764113,-81.71228
Florida,Lee County,26.552134,-81.89225
Florida,Leon County,30.45931,-84.2778
Florida,Levy County,29.284409,-82.78348
Florida,Liberty County,30.259849,-84.86858
Florida,Madison County,30.447228,-83.47043
Florida,Manatee County,27.481386,-82.36578
Florida,Marion County,29.202805,-82.0431
Florida,Martin County,27.079954,-80.39821
Florida,Miami-Dade County,25.610494,-80.49904
Florida,Monroe County,25.601043,-81.20677
Florida,Nassau County,30.605926,-81.76492
Florida,Okaloosa County,30.665858,-86.59419
Florida,Okeechobee County,27.385592,-80.88738
Florida,Orange County,28.514435,-81.32329
Florida,Osceola County,28.059027,-81.13931
Florida,Palm Beach County,26.645763,-80.44867
Florida,Pasco County,28.302024,-82.4557
Florida,Pinellas County,27.903122,-82.73951
Florida,Polk County,27.953115,-81.69278
Florida,Putnam County,29.606006,-81.74089
Florida,St. Johns County,29.890593,-81.38391
Florida,St. Lucie County,27.380775,-80.44336
Florida,Santa Rosa County,30.703633,-87.01425
Florida,Sarasota County,27.184386,-82.36583
Florida,Seminole County,28.690079,-81.13198
Florida,Sumter County,28.714294,-82.07471
Florida,Suwannee County,30.189244,-82.99275
Florida,Taylor County,30.016943,-83.61641
Florida,Union County,30.05428,-82.36691
Florida,Volusia County,29.057617,-81.16181
Florida,Wakulla County,30.140378,-84.37513
Florida,Walton County,30.631211,-86.17661
Florida,Washington County,30.602217,-85.66279
Georgia,Appling County,31.739712,-82.2901
Georgia,Atkinson County,31.300562,-82.88361
Georgia,Bacon County,31.563327,-82.38785
Georgia,Baker County,31.319622,-84.45485
Georgia,Baldwin County,33.059532,-83.25536
Georgia,Banks County,34.351922,-83.49844
Georgia,Barrow County,33.992009,-83.7123
Georgia,Bartow County,34.240918,-84.83818
Georgia,Ben Hill County,31.740776,-83.14719
Georgia,Berrien County,31.274308,-83.2319
Georgia,Bibb County,32.808844,-83.69419
Georgia,Bleckley County,32.435403,-83.33171
Georgia,Brantley County,31.197334,-81.98297
Georgia,Brooks County,30.833696,-83.58897
Georgia,Bryan County,32.017969,-81.43854
Georgia,Bulloch County,32.393408,-81.74381
Georgia,Burke County,33.063737,-82.00389
Georgia,Butts County,33.290355,-83.95822
Georgia,Calhoun County,31.521279,-84.62629
Georgia,Camden County,30.916358,-81.63651
Georgia,Candler County,32.403986,-82.07144
Georgia,Carroll County,33.582237,-85.08052
Georgia,Catoosa County,34.899393,-85.13735
Georgia,Charlton County,30.779904,-82.13964
Georgia,Chatham County,31.974756,-81.09176
Georgia,Chattahoochee County,32.347445,-84.78802
Georgia,Chattooga County,34.474179,-85.34528
Georgia,Cherokee County,34.244317,-84.47505
Georgia,Clarke County,33.952234,-83.36713
Georgia,Clay County,31.619831,-84.99258
Georgia,Clayton County,33.552242,-84.41297
Georgia,Clinch County,30.917653,-82.70261
Georgia,Cobb County,33.93994,-84.57416
Georgia,Coffee County,31.549245,-82.84493
Georgia,Colquitt County,31.189758,-83.76974
Georgia,Columbia County,33.550556,-82.25134
Georgia,Cook County,31.152935,-83.42955
Georgia,Coweta County,33.352897,-84.76213
Georgia,Crawford County,32.709446,-83.97918
Georgia,Crisp County,31.914753,-83.75333
Georgia,Dade County,34.852424,-85.5062
Georgia,Dawson County,34.442842,-84.17328
Georgia,Decatur County,30.877961,-84.57774
Georgia,DeKalb County,33.770661,-84.22634
Georgia,Dodge County,32.160656,-83.15681
Georgia,Dooly County,32.151995,-83.80716
Georgia,Dougherty County,31.535068,-84.21444
Georgia,Douglas County,33.699317,-84.76594
Georgia,Early County,31.324191,-84.90672
Georgia,Echols County,30.7085,-82.83613
Georgia,Effingham County,32.361711,-81.34333
Georgia,Elbert County,34.115017,-82.84205
Georgia,Emanuel County,32.5911,-82.29976
Georgia,Evans County,32.151902,-81.88761
Georgia,Fannin County,34.863837,-84.31928
Georgia,Fayette County,33.412717,-84.49394
Georgia,Floyd County,34.263677,-85.21373
Georgia,Forsyth County,34.225143,-84.12733
Georgia,Franklin County,34.375155,-83.22729
Georgia,Fulton County,33.790034,-84.46818
Georgia,Gilmer County,34.690541,-84.45398
Georgia,Glascock County,33.227491,-82.60691
Georgia,Glynn County,31.212747,-81.49651
Georgia,Gordon County,34.509667,-84.87386
Georgia,Grady County,30.875863,-84.24477
Georgia,Greene County,33.576836,-83.1671
Georgia,Gwinnett County,33.959101,-84.02293
Georgia,Habersham County,34.635108,-83.5264
Georgia,Hall County,34.317588,-83.81849
Georgia,Hancock County,33.26922,-83.00046
Georgia,Haralson County,33.795165,-85.22006
Georgia,Harris County,32.731549,-84.91243
Georgia,Hart County,34.348733,-82.96329
Georgia,Heard County,33.290968,-85.13959
Georgia,Henry County,33.452881,-84.15444
Georgia,Houston County,32.458381,-83.66285
Georgia,Irwin County,31.604306,-83.27703
Georgia,Jackson County,34.134157,-83.56513
Georgia,Jasper County,33.314905,-83.68789
Georgia,Jeff Davis County,31.811615,-82.63682
Georgia,Jefferson County,33.051874,-82.41905
Georgia,Jenkins County,32.794563,-81.97152
Georgia,Johnson County,32.689831,-82.66135
Georgia,Jones County,33.020226,-83.56233
Georgia,Lamar County,33.07446,-84.14672
Georgia,Lanier County,31.038197,-83.06316
Georgia,Laurens County,32.39322,-82.92631
Georgia,Lee County,31.818419,-84.14668
Georgia,Liberty County,31.807245,-81.45796
Georgia,Lincoln County,33.792151,-82.44829
Georgia,Long County,31.749563,-81.74287
Georgia,Lowndes County,30.83368,-83.26896
Georgia,Lumpkin County,34.568149,-83.99882
Georgia,McDuffie County,33.482464,-82.47318
Georgia,McIntosh County,31.482978,-81.37019
Georgia,Macon County,32.366216,-84.05216
Georgia,Madison County,34.128486,-83.20363
Georgia,Marion County,32.359538,-84.52956
Georgia,Meriwether County,33.03022,-84.66327
Georgia,Miller County,31.162908,-84.73038
Georgia,Mitchell County,31.22894,-84.1924
Georgia,Monroe County,33.017435,-83.92293
Georgia,Montgomery County,32.172108,-82.53334
Georgia,Morgan County,33.593732,-83.49232
Georgia,Murray County,34.797097,-84.73799
Georgia,Muscogee County,32.510197,-84.87494
Georgia,Newton County,33.544046,-83.85518
Georgia,Oconee County,33.834125,-83.43772
Georgia,Oglethorpe County,33.866806,-83.07408
Georgia,Paulding County,33.920903,-84.86697
Georgia,Peach County,32.571324,-83.83197
Georgia,Pickens County,34.456621,-84.49025
Georgia,Pierce County,31.353988,-82.21042
Georgia,Pike County,33.090769,-84.38662
Georgia,Polk County,33.995961,-85.18682
Georgia,Pulaski County,32.238794,-83.48185
Georgia,Putnam County,33.321061,-83.37179
Georgia,Quitman County,31.861487,-85.00931
Georgia,Rabun County,34.883026,-83.40473
Georgia,Randolph County,31.762651,-84.75231
Georgia,Richmond County,33.361487,-82.07499
Georgia,Rockdale County,33.652081,-84.02637
Georgia,Schley County,32.263441,-84.32272
Georgia,Screven County,32.744751,-81.61758
Georgia,Seminole County,30.933894,-84.86759
Georgia,Spalding County,33.262389,-84.28606
Georgia,Stephens County,34.552914,-83.29021
Georgia,Stewart County,32.073225,-84.83491
Georgia,Sumter County,32.042203,-84.20428
Georgia,Talbot County,32.704603,-84.53002
Georgia,Taliaferro County,33.559314,-82.8752
Georgia,Tattnall County,32.043768,-82.0592
Georgia,Taylor County,32.554667,-84.25142
Georgia,Telfair County,31.913639,-82.93106
Georgia,Terrell County,31.777191,-84.43944
Georgia,Thomas County,30.864616,-83.91978
Georgia,Tift County,31.457003,-83.52593
Georgia,Toombs County,32.126698,-82.33207
Georgia,Towns County,34.90265,-83.73215
Georgia,Treutlen County,32.409586,-82.57088
Georgia,Troup County,33.034482,-85.02836
Georgia,Turner County,31.718232,-83.62856
Georgia,Twiggs County,32.665847,-83.42587
Georgia,Union County,34.83377,-83.98957
Georgia,Upson County,32.881837,-84.29228
Georgia,Walker County,34.735827,-85.30538
Georgia,Walton County,33.782649,-83.73421
Georgia,Ware County,31.050881,-82.4215
Georgia,Warren County,33.419169,-82.68801
Georgia,Washington County,32.971848,-82.79811
Georgia,Wayne County,31.547845,-81.91237
Georgia,Webster County,32.046554,-84.55321
Georgia,Wheeler County,32.109276,-82.7387
