Line_ID,Start_Object_ID,End_Object_ID,Full_Line_ID
49506a,18469,18470,49506
49506b,18470,18467,49506
49506c,18467,18410,49506
1918,18470,18468,1918
9892,18467,18474,9892
43379,18469,18467,43379
41800,18470,18469,41800
39879,18470,18434,39879
45652,18470,18480,45652
23612,18467,18469,23612
22983a,18470,18434,22983
22983b,18434,18420,22983
38140,18469,18470,38140
13890a,18470,18451,13890
13890b,18451,18452,13890
13890c,18452,18447,13890
13890d,18447,18471,13890
13890e,18471,18449,13890
13890f,18449,18450,13890
13890g,18450,18425,13890
13890h,18425,18468,13890
12854a,18470,18471,12854
12854b,18471,18395,12854
12854c,18395,18468,12854
12854d,18468,18473,12854
15419,18470,18480,15419
44145a,18477,18465,44145
44145b,18465,18458,44145
15115a,18388,18394,15115
15115b,18394,18395,15115
15115c,18395,18373,15115
24316a,18394,18388,24316
24316b,18388,18441,24316
32887a,18477,18452,32887
32887b,18452,18451,32887
32887c,18451,18425,32887
32887d,18425,18449,32887
32887e,18449,18450,32887
32887f,18450,18447,32887
32887g,18447,18465,32887
32887h,18465,18458,32887
12657,18477,18478,12657
7502,18464,18478,7502
16448,18394,18388,16448
44745a,18394,18388,44745
44745b,18388,18390,44745
44745c,18390,18391,44745
44745d,18391,18389,44745
18174a,18388,18394,18174
18174b,18394,18390,18174
18174c,18390,18389,18174
18174d,18389,18391,18174
18174e,18391,18441,18174
8887a,18398,18387,8887
8887b,18387,18386,8887
21328a,18387,18386,21328
21328b,18386,18398,21328
35562a,18398,18387,35562
35562b,18387,18386,35562
35562c,18386,18430,35562
35562d,18430,20316,35562
4142a,18398,18386,4142
4142b,18386,18387,4142
4142c,18387,11416,4142
4142d,11416,11417,4142
4142e,11417,20301,4142
39858a,18386,18387,39858
39858b,18387,18398,39858
39858c,18398,20301,39858
51625a,18386,18398,51625
51625b,18398,18387,51625
51624a,18398,18387,51624
51624b,18387,18386,51624
45a,18390,18389,45
45b,18389,18391,45
45c,18391,18397,45
41029a,18389,18391,41029
41029b,18391,18390,41029
6927a,18389,18390,6927
6927b,18390,18391,6927
19190a,18391,18390,19190
19190b,18390,18389,19190
19190c,18389,18397,19190
8854,18419,18444,8854
46702a,18419,11119,46702
46702b,11119,11118,46702
19909a,18403,18404,19909
19909b,18404,18384,19909
13769,18403,18402,13769
7284a,18403,18395,7284
7284b,18395,18406,7284
7284c,18406,18404,7284
7284d,18404,18384,7284
7284e,18384,18405,7284
24719a,18451,18452,24719
24719b,18452,18453,24719
24719c,18453,18425,24719
24719d,18425,18447,24719
24719e,18447,18449,24719
24719f,18449,18450,24719
42354a,18452,18451,42354
42354b,18451,18425,42354
42354c,18425,18447,42354
42354d,18447,18450,42354
42354e,18450,18449,42354
42354f,18449,18426,42354
42937a,18451,18452,42937
42937b,18452,18447,42937
42937c,18447,18449,42937
42937d,18449,18450,42937
42937e,18450,18425,42937
42937f,18425,18465,42937
42937g,18465,18458,42937
43874a,18451,18452,43874
43874b,18452,18447,43874
43874c,18447,18449,43874
43874d,18449,18450,43874
43874e,18450,18471,43874
43874f,18471,18425,43874
43874g,18425,18468,43874
30657a,18451,18452,30657
30657b,18452,18425,30657
30657c,18425,18447,30657
30657d,18447,18449,30657
30657e,18449,18450,30657
1486a,18452,18451,1486
1486b,18451,18450,1486
1486c,18450,18425,1486
1486d,18425,18447,1486
1486e,18447,18449,1486
1486f,18449,18453,1486
2260a,18451,18452,2260
2260b,18452,18447,2260
2260c,18447,18449,2260
2260d,18449,18450,2260
2260e,18450,18425,2260
4292a,18452,18451,4292
4292b,18451,18447,4292
4292c,18447,18425,4292
4292d,18425,18449,4292
4292e,18449,18450,4292
4292f,18450,18423,4292
4292g,18423,18426,4292
22613a,18451,18452,22613
22613b,18452,18425,22613
22613c,18425,18447,22613
22613d,18447,18450,22613
22613e,18450,18449,22613
22613f,18449,18448,22613
18580a,18452,18451,18580
18580b,18451,18449,18580
18580c,18449,18450,18580
18580d,18450,18425,18580
18580e,18425,18447,18580
18580f,18447,18463,18580
18580g,18463,18473,18580
39468a,18452,18451,39468
39468b,18451,18450,39468
39468c,18450,18425,39468
39468d,18425,18447,39468
39468e,18447,18449,39468
39468f,18449,18473,39468
10513a,18451,18452,10513
10513b,18452,18447,10513
10513c,18447,18425,10513
10513d,18425,18450,10513
10513e,18450,18449,10513
41762a,18451,18452,41762
41762b,18452,18425,41762
41762c,18425,18447,41762
41762d,18447,18449,41762
41762e,18449,18450,41762
23377,18422,18421,23377
43036,18446,18422,43036
23942,18422,18423,23942
43689,18446,18457,43689
36104a,18379,18380,36104
36104b,18380,18402,36104
23328a,18379,18395,23328
23328b,18395,18460,23328
23328c,18460,18409,23328
23328d,18409,18459,23328
32410,18379,18395,32410
40062,18379,18415,40062
27188,18465,18458,27188
5645a,18445,18444,5645
5645b,18444,18434,5645
5645c,18434,18420,5645
2321,18444,18466,2321
31944,18445,18420,31944
7464,18456,18457,7464
41068,18448,18456,41068
32491,18423,18426,32491
22073,18457,18435,22073
14986,18429,18395,14986
24880,18395,18406,24880
48439,18395,18473,48439
47998,18395,18476,47998
40701a,18395,18463,40701
40701b,18463,18473,40701
27488,18406,18402,27488
26101,18402,18397,26101
20965,18461,11104,20965
30113a,18461,18442,30113
30113b,18442,18443,30113
30113c,18443,18462,30113
42573a,18461,11104,42573
42573b,11104,18462,42573
42573c,18462,18443,42573
42573d,18443,18442,42573
42573e,18442,18373,42573
2286a,18461,18443,2286
2286b,18443,18462,2286
2286c,18462,18442,2286
8078,18461,11104,8078
40668,18466,18410,40668
4143a,18397,18393,4143
4143b,18393,18392,4143
4143c,18392,18399,4143
38523a,18397,18392,38523
38523b,18392,18393,38523
38523c,18393,18399,38523
2484,18435,18420,2484
46303a,18463,18473,46303
46303b,18473,18476,46303
348,18472,18463,348
30329,18472,18463,30329
35739,18474,18415,35739
31117,18427,18473,31117
7622,18427,18473,7622
31279,18427,18473,31279
33054,11122,11104,33054
46136,11100,11117,46136
33578,11114,11122,33578
39432,11112,11122,39432
25925a,11116,11122,25925
25925b,11122,11113,25925
25925c,11113,11117,25925
17892a,11100,11116,17892
17892b,11116,11113,17892
17892c,11113,11117,17892
20664a,11122,11103,20664
20664b,11103,11115,20664
35392a,11103,11115,35392
35392b,11115,11069,35392
15505,11122,11104,15505
41147,11103,11115,41147
45941,11114,11122,45941
1922,11116,11113,1922
18101a,11116,11122,18101
18101b,11122,11113,18101
33613a,11069,26712,33613
33613b,26712,11726,33613
33613c,11726,11715,33613
31954a,11069,26729,31954
31954b,26729,18431,31954
23128,11069,26729,23128
6329a,11104,11051,6329
6329b,11051,11063,6329
6329c,11063,11072,6329
6329d,11072,11052,6329
6329e,11052,11042,6329
16441a,11101,11119,16441
16441b,11119,11118,16441
20107a,11102,11119,20107
20107b,11119,11118,20107
14218,11102,11117,14218
19610,11119,11118,19610
1111a,11101,11119,1111
1111b,11119,11118,1111
13644a,18479,18443,13644
13644b,18443,18462,13644
13644c,18462,18442,13644
6497a,18479,18462,6497
6497b,18462,18442,6497
6497c,18442,18443,6497
33451,18479,18478,33451
33675,18374,18375,33675
41961a,26729,26324,41961
41961b,26324,26325,41961
8226,26729,18430,8226
20978a,18430,18433,20978
20978b,18433,18432,20978
21062a,18430,26325,21062
21062b,26325,26324,21062
21062c,26324,26285,21062
21062d,26285,26321,21062
21062e,26321,26293,21062
21062f,26293,26304,21062
21062g,26304,26292,21062
21062h,26292,26330,21062
21062i,26330,26299,21062
21062j,26299,26301,21062
21062k,26301,26300,21062
21062l,26300,26307,21062
21062m,26307,26308,21062
21062n,26308,26287,21062
37357,18375,18376,37357
7203,18375,26327,7203
19159,18375,26327,19159
30363a,18455,18454,30363
30363b,18454,18441,30363
43933a,18455,18454,43933
43933b,18454,18441,43933
30857a,18432,18433,30857
30857b,18433,18454,30857
30857c,18454,18455,30857
44110a,18442,18462,44110
44110b,18462,18443,44110
31949a,18443,18442,31949
31949b,18442,18462,31949
48050a,18454,18433,48050
48050b,18433,18455,48050
48050c,18455,18432,48050
7323,18432,18433,7323
10575,18454,18455,10575
12546,18455,18454,12546
34917a,18478,26325,34917
34917b,26325,26324,34917
11856a,20314,20293,11856
11856b,20293,20292,11856
16349,20265,20296,16349
19707a,20294,20295,19707
19707b,20295,20312,19707
19128a,20295,20294,19128
19128b,20294,20296,19128
19128c,20296,20265,19128
21890a,20294,20295,21890
21890b,20295,20313,21890
1119,20314,20315,1119
1210,20314,20315,1210
8284a,20265,20292,8284
8284b,20292,20293,8284
8284c,20293,20296,8284
11133a,20313,20295,11133
11133b,20295,20294,11133
19349a,20296,20292,19349
19349b,20292,20293,19349
19349c,20293,20265,19349
19349d,20265,20316,19349
37803a,20294,20295,37803
37803b,20295,20312,37803
6239a,20296,20293,6239
6239b,20293,20292,6239
37033,20315,20260,37033
24558a,20294,20296,24558
24558b,20296,20312,24558
24558c,20312,20295,24558
29335a,20293,20314,29335
29335b,20314,20292,29335
38753a,20265,20292,38753
38753b,20292,20296,38753
38753c,20296,20293,38753
38753d,20293,20280,38753
38753e,20280,20279,38753
38753f,20279,20316,38753
46879a,20265,20258,46879
46879b,20258,20305,46879
26770,20315,20306,26770
34666a,20305,20258,34666
34666b,20258,18365,34666
14689,20305,20258,14689
2808a,18302,20274,2808
2808b,20274,20275,2808
2808c,20275,20272,2808
2808d,20272,20273,2808
2808e,20273,20261,2808
2808f,20261,20316,2808
2808g,20316,20271,2808
2808h,20271,20270,2808
2808i,20270,20266,2808
2808j,20266,20318,2808
8060a,20275,20274,8060
8060b,20274,18302,8060
8820a,20310,20298,8820
8820b,20298,20278,8820
8820c,20278,20277,8820
8820d,20277,20316,8820
39004a,20275,20274,39004
39004b,20274,20272,39004
39004c,20272,20273,39004
39004d,20273,20261,39004
22210a,18302,18303,22210
22210b,18303,18319,22210
22210c,18319,18320,22210
22210d,18320,18361,22210
43519a,20275,20274,43519
43519b,20274,18302,43519
43519c,18302,20261,43519
43519d,20261,20273,43519
43519e,20273,20272,43519
43519f,20272,20316,43519
43519g,20316,20266,43519
43519h,20266,20270,43519
43519i,20270,20271,43519
43519j,20271,20318,43519
4080a,20274,20275,4080
4080b,20275,20273,4080
4080c,20273,20272,4080
4080d,20272,20261,4080
17000a,18302,20274,17000
17000b,20274,20275,17000
34882,18302,18303,34882
25255a,18373,26317,25255
25255b,26317,26322,25255
25255c,26322,26326,25255
25255d,26326,26318,25255
5514a,20310,20277,5514
5514b,20277,20278,5514
15398a,20310,18331,15398
15398b,18331,18332,15398
15398c,18332,18349,15398
16022a,18302,18303,16022
16022b,18303,18319,16022
16022c,18319,18320,16022
16022d,18320,18361,16022
43265a,20310,18332,43265
43265b,18332,18349,43265
43265c,18349,18331,43265
21675a,18302,18303,21675
21675b,18303,18294,21675
21675c,18294,18325,21675
21675d,18325,18322,21675
21675e,18322,18304,21675
21675f,18304,18321,21675
21675g,18321,18361,21675
21675h,18361,18362,21675
21675i,18362,18319,21675
21675j,18319,18320,21675
40519a,20310,20274,40519
40519b,20274,20275,40519
42377a,18302,18303,42377
42377b,18303,18325,42377
42377c,18325,18294,42377
42377d,18294,18323,42377
42377e,18323,18309,42377
42377f,18309,18326,42377
42377g,18326,18355,42377
42377h,18355,18320,42377
42377i,18320,18321,42377
42377j,18321,18362,42377
42377k,18362,18304,42377
42377l,18304,18319,42377
42377m,18319,18322,42377
42377n,18322,18361,42377
41753a,20310,20274,41753
41753b,20274,20275,41753
42424a,18302,18349,42424
42424b,18349,18332,42424
42424c,18332,18331,42424
42424d,18331,16364,42424
42424e,16364,16319,42424
20092,18302,18303,20092
48044,18385,18376,48044
20690,18377,18376,20690
48876,18377,20288,48876
31539,18378,18377,31539
28989a,18332,18331,28989
28989b,18331,18349,28989
28989c,18349,18350,28989
12873a,18349,18331,12873
12873b,18331,18332,12873
43675a,18331,18349,43675
43675b,18349,18332,43675
31703a,18331,18303,31703
31703b,18303,18332,31703
31703c,18332,18349,31703
31703d,18349,16391,31703
31703e,16391,16364,31703
31703f,16364,16319,31703
31703g,16319,16389,31703
31703h,16389,16390,31703
31703i,16390,16430,31703
31703j,16430,15871,31703
31703k,15871,15901,31703
31703l,15901,15902,31703
31703m,15902,15909,31703
36479a,18332,18349,36479
36479b,18349,18331,36479
36479c,18331,18350,36479
23606a,20276,20277,23606
23606b,20277,20278,23606
34881,20298,20316,34881
498a,20277,20278,498
498b,20278,20276,498
25120a,20277,20298,25120
25120b,20298,20278,25120
25120c,20278,20316,25120
24034,20277,20278,24034
3050a,20291,20290,3050
3050b,20290,20306,3050
40889a,20291,20306,40889
40889b,20306,20290,40889
805a,20291,20290,805
805b,20290,20309,805
27502a,20308,20291,27502
27502b,20291,20290,27502
10198a,20291,20290,10198
10198b,20290,20308,10198
25365a,20290,20291,25365
25365b,20291,20307,25365
40564,20311,18350,40564
47320a,20261,20273,47320
47320b,20273,20272,47320
46900a,20273,20272,46900
46900b,20272,20261,46900
46900c,20261,20316,46900
46406a,20272,20261,46406
46406b,20261,20273,46406
14846a,20261,20272,14846
14846b,20272,20273,14846
14846c,20273,20316,14846
12976,20309,20307,12976
44075a,20279,20288,44075
44075b,20288,20280,44075
3180,20280,20279,3180
9603,20287,20288,9603
11536,18401,18365,11536
29552a,11434,11421,29552
29552b,11421,11420,29552
29552c,11420,11400,29552
29552d,11400,11399,29552
32707a,11421,11434,32707
32707b,11434,11420,32707
32707c,11420,11400,32707
32707d,11400,11399,32707
43239a,11420,11421,43239
43239b,11421,11434,43239
31685a,11420,11434,31685
31685b,11434,11421,31685
31685c,11421,11419,31685
31685d,11419,11432,31685
31685e,11432,11418,31685
24590a,11434,11421,24590
24590b,11421,11420,24590
38592a,11420,11434,38592
38592b,11434,11421,38592
38592c,11421,11432,38592
38592d,11432,11419,38592
38592e,11419,11418,38592
20980a,18371,18381,20980
20980b,18381,18382,20980
20980c,18382,18405,20980
20980d,18405,18383,20980
7306,18384,18404,7306
5126a,18382,18381,5126
5126b,18381,18383,5126
30109a,18405,11446,30109
30109b,11446,11445,30109
25477a,18405,18382,25477
25477b,18382,18371,25477
25477c,18371,18381,25477
21864,18381,18382,21864
43757a,18405,18400,43757
43757b,18400,11382,43757
28091a,18404,18405,28091
28091b,18405,18384,28091
31972,18405,11445,31972
36311,18382,18381,36311
41755,20319,20285,41755
27527,20319,20318,27527
17134,20319,20316,17134
15136a,20267,20284,15136
15136b,20284,20283,15136
13215a,20321,20284,13215
13215b,20284,20283,13215
13215c,20283,20267,13215
1052a,20284,20283,1052
1052b,20283,20267,1052
1052c,20267,20318,1052
1052d,20318,20281,1052
4327,20321,20302,4327
10432a,20267,20283,10432
10432b,20283,20321,10432
10432c,20321,20284,10432
9465a,20267,20284,9465
9465b,20284,20283,9465
9465c,20283,20281,9465
22150,20321,20302,22150
30637a,20267,20284,30637
30637b,20284,20283,30637
31249a,11418,11432,31249
31249b,11432,11419,31249
9950a,11419,11432,9950
9950b,11432,11418,9950
9950c,11418,18400,9950
38802a,11418,11419,38802
38802b,11419,11432,38802
2997a,11418,11432,2997
2997b,11432,11419,2997
2997c,11419,18400,2997
23761a,11422,11399,23761
23761b,11399,11400,23761
23761c,11400,11401,23761
23761d,11401,11393,23761
12719a,11400,11401,12719
12719b,11401,11422,12719
12719c,11422,11399,12719
12719d,11399,11373,12719
25404a,11401,11400,25404
25404b,11400,11422,25404
25404c,11422,11449,25404
25404d,11449,11407,25404
25404e,11407,11423,25404
39478a,11401,11446,39478
39478b,11446,11449,39478
39478c,11449,11407,39478
39478d,11407,11423,39478
39478e,11423,11448,39478
39478f,11448,20318,39478
39478g,20318,20304,39478
36589a,11446,11372,36589
36589b,11372,11358,36589
36589c,11358,11359,36589
1624a,11401,11400,1624
1624b,11400,11422,1624
1624c,11422,11406,1624
1624d,11406,11405,1624
27282a,11401,11400,27282
27282b,11400,11422,27282
3970a,11422,11401,3970
3970b,11401,11400,3970
3970c,11400,11416,3970
3970d,11416,11417,3970
5570a,11401,11400,5570
5570b,11400,11422,5570
5570c,11422,11416,5570
5570d,11416,11417,5570
2300a,11400,11399,2300
2300b,11399,11401,2300
2300c,11401,11422,2300
48204a,11422,11401,48204
48204b,11401,11400,48204
48204c,11400,11399,48204
10924a,11446,11422,10924
10924b,11422,11401,10924
10924c,11401,11400,10924
10924d,11400,11399,10924
10924e,11399,11415,10924
10924f,11415,11395,10924
10924g,11395,11414,10924
11309a,11400,11401,11309
11309b,11401,11422,11309
11309c,11422,11407,11309
11309d,11407,11449,11309
11309e,11449,11423,11309
11309f,11423,11448,11309
41422a,11399,11400,41422
41422b,11400,11401,41422
41422c,11401,11422,41422
41422d,11422,11446,41422
41422e,11446,11395,41422
41422f,11395,11414,41422
41422g,11414,11415,41422
2855a,11399,11400,2855
2855b,11400,11382,2855
22750a,11446,11412,22750
22750b,11412,11395,22750
22750c,11395,11413,22750
22750d,11413,11414,22750
22750e,11414,11425,22750
22750f,11425,11440,22750
22750g,11440,11415,22750
22750h,11415,11424,22750
22750i,11424,11397,22750
22750j,11397,11398,22750
22973a,11446,11407,22973
22973b,11407,11423,22973
22973c,11423,11449,22973
22973d,11449,11448,22973
22973e,11448,20318,22973
22973f,20318,20304,22973
6231a,11400,11401,6231
6231b,11401,11422,6231
6231c,11422,11423,6231
6231d,11423,11407,6231
6231e,11407,11449,6231
6231f,11449,11451,6231
6231g,11451,20269,6231
22165a,11422,11399,22165
22165b,11399,11400,22165
22165c,11400,11401,22165
13191a,11399,11400,13191
13191b,11400,11422,13191
13191c,11422,11401,13191
13191d,11401,11445,13191
20594a,11446,11440,20594
20594b,11440,11425,20594
20594c,11425,11424,20594
20594d,11424,11415,20594
20594e,11415,11395,20594
20594f,11395,11412,20594
20594g,11412,11413,20594
20594h,11413,11414,20594
20594i,11414,11397,20594
