Line_ID,Voltage,Line_Length_Meters
1,-999999,2250.169338
2,-999999,19187.28259
3,-999999,5619.797126
4,-999999,481.7800721
5,-999999,21.15212325
7,120,1624.753211
8,-999999,6067.463412
9,69,20874.66334
10,-999999,36972.8365
11,69,4614.968525
12,115,3720.9799
13,-999999,2809.002912
14,-999999,96734.4512
16,138,59923.99467
17,69,3481.807621
19,-999999,9517.176936
20,230,10856.41327
21,115,1703.356132
22,69,3520.430182
23,-999999,327.9867991
24,115,17159.56449
25,345,2446.554925
27,-999999,132.6009492
28,115,4444.689984
29,115,50604.94834
30,-999999,32961.23826
31,-999999,2382.225671
32,69,5906.454459
33,138,5545.518609
34,69,11038.19897
35,69,6247.911002
36,-999999,6377.617105
37,-999999,840.0647698
38,-999999,3663.559676
39,-999999,87.24229877
40,345,119336.9827
41,-999999,67.16872459
42,-999999,7026.310295
43,230,2264.789697
44,-999999,9.281415657
45,115,1524.235473
46,138,17.3341366
47,100,6043.603328
48,69,18215.76403
49,69,161.8597173
50,138,2542.310325
51,230,37102.33581
52,-999999,10518.20851
53,69,5692.375749
54,69,49147.01092
55,69,209.0357826
57,230,7244.842042
58,100,173.853975
59,-999999,667.3975624
60,-999999,17543.99762
61,-999999,710.1070318
62,345,2891.229239
63,100,4368.580259
64,138,22787.02078
65,230,2550.472098
66,69,10028.9817
67,345,22846.45081
68,230,12108.30728
69,115,15344.67724
70,161,14766.22263
71,-999999,8013.555565
72,161,12528.13399
73,230,17192.44567
74,138,52032.88026
75,69,175.0496368
76,-999999,445.5711924
77,115,15561.48456
78,-999999,5850.033202
79,115,8271.461403
80,69,6458.027672
82,-999999,5171.77386
83,69,7582.444038
84,115,47.74430139
85,-999999,25224.40626
86,115,8588.532841
87,69,1057.493877
88,230,2846.553214
89,-999999,7698.534566
90,69,34060.61013
91,-999999,79.39061224
92,100,1759.652077
93,-999999,28848.76013
94,230,28176.1608
95,230,17427.55646
96,138,22122.65602
97,138,54.94890305
98,-999999,10634.36106
99,115,124.8387498
100,500,37.59320938
101,100,5768.123607
102,-999999,4518.622071
103,69,3169.869565
104,345,24936.58495
105,-999999,15614.35959
106,161,17257.66394
107,230,29641.89435
108,-999999,22873.38055
109,100,1263.786553
110,-999999,748.4114698
111,115,3837.833241
112,138,24385.60531
113,138,9388.250798
114,-999999,421.3802681
115,-999999,15689.02109
116,-999999,14599.53272
117,138,989.7606891
118,-999999,621.108099
119,-999999,1993.412233
120,138,67478.71295
121,-999999,19466.33047
122,-999999,3817.94217
123,115,15282.20915
124,69,23.78727033
125,138,7261.581859
126,-999999,1138.575806
127,-999999,5562.875965
128,69,6342.24645
129,69,2046.376018
130,115,163.5203587
131,161,8317.823359
133,69,1114.358365
134,115,683.7078293
135,115,21853.16602
136,138,10187.68305
137,115,12940.75432
138,161,13209.57123
139,-999999,361.6024544
140,138,1044.028599
141,115,1809.452703
142,230,2451.983038
143,345,4707.578806
144,-999999,1579.164213
145,230,28082.44622
146,115,939.2930371
147,-999999,25832.90654
148,115,36954.94727
149,230,328952.3223
150,115,12286.95795
151,69,10466.01974
152,115,26886.12285
153,115,38379.37203
154,161,48928.09662
155,115,4607.203767
156,115,47.24126798
157,230,28970.79728
158,-999999,11104.62503
159,115,5220.834188
160,-999999,57.66693173
161,-999999,14949.78966
162,-999999,16048.13833
163,-999999,30854.65614
164,765,131776.0063
165,138,4338.177451
166,161,1092.697127
167,-999999,144.2018132
168,-999999,121.703197
169,115,4601.684247
170,115,42438.44683
171,115,66.97191618
172,100,2920.923916
173,-999999,666.8241878
174,138,5740.272928
175,-999999,3388.496654
176,-999999,375.5749159
177,-999999,24.42399493
178,230,35170.39395
179,115,1537.511824
180,-999999,8997.751118
181,161,12116.23521
182,230,75195.07527
183,69,8522.009364
184,115,219.031704
185,115,1269.53722
186,230,10336.90688
187,115,6393.277209
188,-999999,4846.19588
189,-999999,15606.22067
190,69,8419.419332
191,115,5071.450696
192,138,4496.932469
193,-999999,2341.368207
194,115,6817.196758
196,115,2359.168087
197,69,94.31943549
198,69,3216.539839
199,-999999,5042.229311
200,100,5349.053863
201,161,31305.17738
202,69,13164.92972
203,-999999,7685.330468
204,230,4107.41131
205,161,29577.80561
206,-999999,2267.354896
207,-999999,4741.738828
208,115,3015.010274
209,230,11117.83667
210,-999999,1981.457509
211,138,13622.73571
212,-999999,623.8503473
213,69,2495.464284
214,34.5,41178.70541
215,161,8421.416425
217,69,54.86220706
218,-999999,16892.32511
219,138,733.5293489
220,138,10888.80704
221,115,12091.39571
222,138,10213.64871
223,138,22948.16352
224,-999999,767.044138
225,-999999,2748.280025
226,161,8233.068288
227,230,20554.55249
228,-999999,33.61786957
229,161,25830.93846
230,230,221248.0166
231,138,5547.754066
232,230,8833.704728
233,-999999,1919.675434
234,-999999,9179.458215
235,-999999,739.4638622
236,138,27494.13676
237,-999999,2621.564112
238,-999999,7565.917221
239,69,2590.944708
240,69,117.8997069
241,100,4007.324505
242,-999999,8766.953601
243,138,17521.27005
244,115,48495.56889
245,345,127919.348
246,138,380.8536558
247,-999999,2203.423537
248,138,8653.327168
249,-999999,15459.18688
250,230,12908.28743
251,100,80.46573087
252,230,37972.08315
253,115,2083.387954
254,115,9570.543949
255,115,711.200164
256,115,20961.04259
257,-999999,61.78545693
258,161,9138.88616
259,-999999,439.0726435
260,-999999,20113.89156
261,138,8767.901779
262,138,3527.399615
264,345,8668.817047
265,-999999,6872.353138
266,115,303.9402203
267,161,8638.470518
268,115,838.278727
269,115,6061.621679
270,-999999,915.1854067
271,-999999,23.35796495
273,-999999,64.58357617
274,230,13272.71453
275,100,9172.210319
276,138,20888.77986
277,230,40067.04895
278,-999999,4839.513745
279,100,3563.168691
280,138,21784.34531
281,115,654.8863538
282,230,1521.284427
283,-999999,81.01901846
284,115,38526.25188
285,138,26693.47196
286,115,9823.453697
287,69,25014.84134
288,69,11148.12961
289,-999999,72.80498405
290,-999999,17042.8033
291,138,9354.231276
292,138,12221.12661
293,115,3788.461428
294,-999999,256.1358869
295,161,2376.20617
296,-999999,5607.52055
297,-999999,33309.57498
298,-999999,340.1146996
299,115,71.22520928
300,138,107.7131506
301,69,12097.59792
302,-999999,3172.632293
303,138,59626.90362
304,115,15550.53162
305,69,24123.38678
306,-999999,934.4617657
307,-999999,874.8486153
308,230,13353.49496
309,230,41828.25616
310,-999999,5857.489996
311,500,9968.177075
312,-999999,5648.210234
313,345,23331.6078
314,115,48361.74997
315,-999999,554.4500459
316,115,9833.729091
317,-999999,7363.341102
318,230,34709.58179
319,500,1200.254902
320,115,22287.96263
321,100,2937.396618
322,-999999,97.74156351
323,-999999,3905.571333
324,138,17186.62634
325,138,177.9444144
326,138,20219.48114
327,138,38519.54038
328,-999999,12931.97817
329,-999999,1730.487261
330,115,2034.046109
331,138,5381.604994
