,Sub_ID,State,County
1,49262,"[California, California]","[Alpine County, El Dorado County]"
2,27670,"[District of Columbia, Virginia]","[District of Columbia, Arlington County]"
3,24305,"[Georgia, Alabama]","[Quitman County, Henry County]"
4,61359,"[Idaho, Idaho, Idaho]","[Camas County, Lincoln County, Gooding County]"
5,37561,"[Illinois, Missouri, Missouri]","[Alexander County, Cape Girardeau County, Scott County]"
6,8888,"[Illinois, Illinois]","[Brown County, Adams County]"
7,15058,"[Iowa, Iowa, Iowa]","[Clarke County, Madison County, Adair County]"
8,21927,"[Iowa, Missouri]","[Decatur County, Mercer County]"
9,21935,"[Iowa, Missouri, Missouri]","[Ringgold County, Harrison County, Worth County]"
10,17079,"[Iowa, Iowa]","[Van Buren County, Jefferson County]"
11,38692,"[Kansas, Kansas]","[Bourbon County, Crawford County]"
12,43176,"[Kansas, Oklahoma]","[Chautauqua County, Osage County]"
13,38690,"[Kansas, Kansas, Kansas]","[Elk County, Butler County, Cowley County]"
14,41729,"[Louisiana, Louisiana]","[East Carroll Parish, West Carroll Parish]"
15,41684,"[Louisiana, Louisiana]","[LaSalle Parish, La Salle Parish]"
16,26143,"[Massachusetts, Massachusetts]","[Dukes County, Barnstable County]"
17,26106,"[Massachusetts, Massachusetts]","[Nantucket County, Barnstable County]"
18,9017,"[Michigan, Michigan]","[Keweenaw County, Houghton County]"
19,64285,"[Montana, Montana]","[Carter County, Fallon County]"
20,64530,"[Montana, Montana, Montana]","[Petroleum County, Golden Valley County, Musselshell County]"
21,9969,"[Montana, North Dakota, North Dakota]","[Sheridan County, Divide County, Williams County]"
22,22457,"[Montana, North Dakota, North Dakota]","[Wibaux County, Golden Valley County, McKenzie County]"
23,12252,"[Nebraska, Nebraska]","[Franklin County, Kearney County]"
24,12141,"[Nebraska, Nebraska, Nebraska]","[Hooker County, Keith County, Arthur County]"
25,11938,"[Nebraska, Nebraska]","[Johnson County, Otoe County]"
26,15456,"[Nebraska, Nebraska]","[Keya Paha County, Brown County]"
27,21808,"[Nebraska, Nebraska]","[Rock County, Holt County]"
28,38195,"[Nebraska, Nebraska]","[Webster County, NA]"
29,47441,"[Nevada, Nevada]","[Lincoln County, Clark County]"
30,46952,"[New Mexico, Arizona]","[Catron County, Apache County]"
31,56789,"[New Mexico, New Mexico]","[De Baca County, Roosevelt County]"
32,48238,"[New Mexico, New Mexico]","[Lincoln County, Otero County]"
33,48733,"[New Mexico, New Mexico]","[Mora County, San Miguel County]"
34,49903,"[Ohio, Ohio]","[Wyandot County, Seneca County]"
35,28494,"[Pennsylvania, Pennsylvania]","[Cameron County, Clearfield County]"
36,29643,"[Pennsylvania, Pennsylvania]","[Forest County, Clarion County]"
37,12099,"[South Dakota, South Dakota]","[Dewey County, Ziebach County]"
38,12085,"[South Dakota, South Dakota, South Dakota]","[Jones County, Stanley County, Haakon County]"
39,15376,"[South Dakota, South Dakota]","[Kingsbury County, Brookings County]"
40,12098,"[South Dakota, South Dakota]","[Mellette County, Todd County]"
41,12088,"[South Dakota, South Dakota]","[Oglala Lakota County, Bennett County]"
42,55407,"[Texas, Texas, Texas]","[Anderson County, Robertson County, Leon County]"
43,54972,"[Texas, Texas]","[Angelina County, Montgomery County]"
44,55007,"[Texas, Texas, Texas, Texas]","[Archer County, Foard County, King County, Cottle County]"
45,55764,"[Texas, Texas, Texas, Texas]","[Baylor County, Cottle County, King County, Foard County]"
