code,n,od,r,gmr,xl,xc,icap
Copper,1,0.162,2.39,0.00526,0.637,0.1483,120
Waxwing,2,0.609,0.3831,0.0198,0.476,0.109,450
Partridge,2,0.642,0.3792,0.0217,0.465,0.1074,460
Ostrich,2,0.68,0.3372,0.0229,0.458,0.1057,490
Merlin,2,0.684,0.3037,0.0222,0.462,0.1055,520
Linnet,2,0.721,0.3006,0.0243,0.451,0.104,530
Oriole,2,0.741,0.2987,0.0255,0.445,0.1032,530
Chickadee,2,0.743,0.2572,0.0241,0.452,0.1031,575
Ibis,2,0.783,0.2551,0.0264,0.441,0.1015,590
Pelican,2,0.814,0.2148,0.0264,0.441,0.1004,650
Flicker,2,0.846,0.2134,0.0284,0.432,0.0992,665
Hawk,2,0.858,0.212,0.0289,0.43,0.0988,670
Hen,2,0.883,0.2107,0.0304,0.424,0.098,670
Osprey,2,0.879,0.1843,0.0284,0.432,0.0981,715
Parakeet,2,0.914,0.1832,0.0306,0.423,0.0969,730
Dove,2,0.927,0.1826,0.0314,0.42,0.0965,730
Rook,2,0.977,0.1603,0.0327,0.415,0.095,795
Grosbeak,2,0.99,0.1596,0.0335,0.412,0.0946,800
Tern,2,1.063,0.1302,0.0352,0.406,0.0925,870
Drake,2,1.108,0.1284,0.0373,0.399,0.0912,905
Rail,3,1.165,0.1092,0.0386,0.395,0.0897,985
Cardinal,3,1.196,0.1082,0.0402,0.39,0.08,1000
Ortolan,3,1.213,0.1011,0.0402,0.39,0.0885,1035
Bluejay,3,1.259,0.0941,0.0415,0.386,0.0874,1080
Finch,3,1.293,0.0937,0.0436,0.38,0.0866,1100
Bittern,3,1.345,0.0832,0.0444,0.378,0.0855,1175
Pheasant,3,1.382,0.0821,0.0466,0.372,0.0847,1180
Bobolink,3,1.427,0.0746,0.047,0.371,0.0837,1255
Plover,3,1.465,0.0735,0.0494,0.365,0.0829,1270
Lapwing,3,1.502,0.0678,0.0498,0.364,0.0822,1335
Falcon,3,1.545,0.0667,0.0523,0.358,0.0814,1380
Bluebird,4,1.762,0.0515,0.0586,0.344,0.0776,1600
