FromBus,ToBus,LineID,kV,metres
34212,34193,43593b,138.0,6060.15708301
46233,56019,64960c,500.0,19334.9404879
64609,64654,55500a,115.0,10307.0941881
46229,49839,72619a,115.0,27413.5829972
49346,49470,64303a,230.0,195.535333857
26141,26121,30121a,69.0,81.9957079202
16757,53093,10878,69.0,369.872145068
48640,49636,65477,60.0,471.618098277
51044,51045,21909c,69.0,35.0625420985
64664,64665,57524,230.0,64.2333717443
38433,38429,3900b,138.0,381.429999449
39456,53482,25927c,100.0,189.139067161
39449,53505,24958i,230.0,90.0260516802
44648,32085,17440,115.0,18051.7685052
15207,15208,43105a,161.0,132.064806667
51204,51205,7083a,161.0,11.8922023012
47963,46169,63182a,115.0,67.3084248196
11307,11300,44781e,115.0,42.0529759011
61600,61548,53467,69.0,7943.45337852
26079,26078,1286a,115.0,13.3797822508
49242,48352,63903a,230.0,29.9041538846
53154,16535,11178,138.0,16146.1236004
52061,13964,33094,100.0,2982.01440411
39317,39293,7839c,115.0,251.569672546
27981,27976,44011,69.0,918.088577259
43944,50786,7810b,115.0,6322.04806693
39012,39011,26886a,100.0,292.121711995
63681,63228,69305d,138.0,1488.89527707
47999,49008,65191,120.0,28513.6247473
17999,32444,23804,138.0,1388.49437585
39117,39104,10423h,115.0,4652.4479677
31642,45704,7340a,69.0,92.2568818135
53090,53125,25441a,138.0,3761.08393212
25567,21264,35443c,115.0,958.643779768
16255,13139,7744,138.0,19280.3907462
52135,52144,41239e,345.0,71.0676266657
21100,17780,45639c,115.0,31.17993211
20330,20331,47642c,115.0,69.0574488983
21239,21268,1167,161.0,132.899997637
61139,61140,53364b,115.0,501.878432232
42897,42899,23102,69.0,9182.4896751
9114,9112,14942a,115.0,383.876240863
31737,16493,29227d,230.0,7097.99451868
13706,13705,21226,345.0,4441.31569994
47253,47983,71939,66.0,2225.8242174
47004,56001,64222,230.0,7001.38765168
11359,11358,14769c,115.0,17.5668191641
8968,14982,21495,138.0,1976.05119731
48846,48874,63721b,230.0,30028.1713054
50475,52148,16561,100.0,5322.27161503
10053,10033,41274,161.0,13592.4940173
47202,49806,65061d,115.0,12587.6689676
18687,18685,49578b,69.0,4435.08347179
58125,58115,59837c,115.0,7908.66257476
17499,17500,42712d,345.0,262.188281058
33017,51401,25075,115.0,706.112002752
11972,34085,26027,345.0,15275.9559386
16246,22143,46282b,345.0,138.809879001
21584,16802,1022b,138.0,1157.09907702
35983,42561,36822c,230.0,2875.61888008
62351,62350,15245a,230.0,50.7356816695
60950,61115,55575,115.0,51117.5173958
55598,55712,68552c,138.0,2286.12663898
63344,63479,69887,138.0,1319.18102519
60839,60843,52753,69.0,322.010865384
37105,40679,46230b,161.0,571.646729277
52707,34467,50437f,115.0,9308.21575517
29821,29820,50507c,115.0,975.660836989
17061,22017,46820b,138.0,1462.72113189
24721,41546,7655b,115.0,9837.62631307
64587,64588,52934b,115.0,5.56149166154
15950,15949,14659d,345.0,159.687623408
49913,23714,44029,115.0,2846.53737173
25607,25608,41763a,230.0,404.209558794
20189,20159,40618b,115.0,26.1291000195
51419,51420,38633f,230.0,91.2661801555
10410,10415,35711a,115.0,196.230170906
13710,13712,36432b,69.0,6371.47309924
16104,21312,28275,230.0,1533.78017633
56926,56929,66134,138.0,1097.82793045
33451,38946,23185d,230.0,14755.9701058
28806,29713,2555c,69.0,11583.3177761
11260,11285,31170e,138.0,43.4137579873
63149,63145,69524,345.0,7624.2523265
15703,34224,1062a,115.0,334.611339181
28341,28343,16691b,138.0,94.3783318169
26415,26389,21997a,138.0,50.6556224616
17212,17213,17684b,100.0,15.2808310277
15941,15936,52030c,115.0,5180.97037445
54934,54935,66977a,115.0,173.41624409
37772,40246,16432,69.0,11331.9280645
16348,16344,43356h,345.0,6816.50559913
32507,17669,44902d,230.0,8002.00404531
18961,34827,14448a,230.0,74.5483547943
50241,50441,28455b,115.0,9361.20960472
27189,62248,8166e,230.0,6070.60291895
46544,47735,63506,115.0,6485.38229683
46647,45906,65309b,69.0,2784.83186979
8974,15254,4345b,69.0,10884.1308228
33368,33366,11659b,100.0,1932.73666821
26300,26301,27493b,115.0,216.484163275
37045,37042,45521d,138.0,155.596112574
51536,51537,21656c,138.0,31.2742291224
58740,58738,52860a,115.0,365.688696541
51803,51061,44476,138.0,25441.2647209
46211,45874,71322,230.0,2898.07665084
13622,13612,23382,138.0,12093.8167675
15759,17307,19988b,161.0,3524.96240547
33788,33808,12397,115.0,695.9494525
43579,43580,27555b,230.0,297.299033354
35587,35630,23228,161.0,8878.57767505
62527,62526,44180a,345.0,35249.1417722
45652,53336,40824,138.0,23505.8764099
26827,26828,4511i,115.0,4642.54304701
63081,63066,69172,138.0,11346.9110855
14605,14589,32464b,115.0,2236.50527643
65434,65438,55352b,138.0,702.777883114
11065,11040,7027a,115.0,3560.82620987
22163,16251,23906d,138.0,74.7748211988
9403,9404,31393a,345.0,3724.91726741
51231,51174,23254b,161.0,239.897621601
62630,45859,71926a,115.0,14229.5975419
47843,48371,64951c,66.0,89.0460194624
21185,18070,3794c,115.0,9196.9966379
20460,20430,27359a,115.0,1711.34587461
39293,39319,40904b,230.0,72.9270945292
60345,60274,56374,115.0,23292.9038614
9688,29246,22087a,138.0,17.0022974509
17469,27686,32372f,138.0,1991.73448426
40049,19942,18428b,230.0,95.5890280953
42095,42201,45770b,138.0,5702.80446717
56735,57127,66085a,138.0,47.9650008223
59174,59175,55167a,230.0,58.2885025038
61934,61935,25709h,161.0,197.046465199
43074,43075,11419,34.5,10395.6671558
10841,10842,20246a,138.0,85.2711467605
62920,63345,70139h,345.0,1435.63703672
42511,42512,40892a,138.0,10676.3983137
27574,27575,31341a,500.0,747.490853761
55583,55584,68697a,69.0,164.687313655
54862,54930,66678,138.0,23211.0229855
12929,13081,999d,115.0,162.908053162
63125,63398,69410a,138.0,27139.3418881
51847,51848,29987b,230.0,799.7185409
37769,37811,13893a,115.0,12955.8113189
15589,15588,17313a,138.0,140.460488172
48675,55961,62961,69.0,7701.55428321
29163,29177,3291,138.0,5671.64937775
57379,57483,66202a,138.0,361.247035644
22675,22684,17004b,345.0,45.1636751516
30239,30240,24721c,115.0,292.619539594
63737,63738,59154a,138.0,83.1685682759
50639,51810,34958,115.0,4188.26332961
43640,43654,14516,230.0,4804.40461438
23762,62005,5829a,161.0,43.2066446356
61147,61145,53375a,115.0,402.863907985
