FromBus,ToBus,TxID,kV_fbus,kV_tbus
45535,31196,43597,69.0,115.0
65031,65032,57350b,69.0,0.0
23026,12770,32363a,138.0,0.0
65729,65738,57893,0.0,115.0
54817,54816,56438a,69.0,69.0
39087,39106,43682b,138.0,138.0
32288,42276,22686a,138.0,115.0
58248,58246,59452a,0.0,0.0
21409,13454,2298b,345.0,69.0
41066,41050,13474,161.0,161.0
26460,26392,39749b,230.0,69.0
35438,35425,6171b,138.0,138.0
3550,16229,77655,4.16,115.0
44577,18882,1635d,115.0,115.0
32774,32777,39396,0.0,0.0
54455,54456,58133e,46.0,46.0
38010,34442,43965a,138.0,69.0
15548,17858,38773d,115.0,115.0
43381,43421,31183a,138.0,138.0
11739,11706,34604b,138.0,100.0
19698,44370,18328,138.0,115.0
4461,47393,78499,13.8,230.0
37741,37742,35588b,115.0,0.0
17625,10729,26503,69.0,138.0
39494,52157,29866,138.0,115.0
64832,64850,60600,0.0,0.0
64866,64899,60009b,0.0,0.0
44229,32522,1425,69.0,345.0
8046,49670,81600,4.16,66.0
21339,21340,37486d,230.0,115.0
2805,26349,76974,4.16,115.0
51689,51608,8964,115.0,138.0
32095,62556,19810,161.0,161.0
59128,59020,54844,46.0,230.0
25726,25725,6757d,138.0,138.0
21784,21795,20745d,138.0,100.0
25365,27356,10033f,115.0,115.0
42761,42760,6428,138.0,0.0
29928,29927,14074a,0.0,0.0
45211,35859,18759b,161.0,161.0
59131,59133,55155b,345.0,138.0
40937,23845,30004,115.0,115.0
9007,9067,17663,115.0,138.0
14002,50850,31058a,230.0,230.0
43669,62054,15892c,161.0,161.0
23919,23938,41711b,138.0,138.0
30829,30828,33026,0.0,138.0
29938,29946,1409a,115.0,115.0
26746,26747,49518,115.0,115.0
16288,15646,40700a,69.0,115.0
15312,18825,33870,69.0,230.0
16675,31328,17783a,138.0,115.0
38560,37221,22742,69.0,161.0
11026,10967,48306a,115.0,115.0
17875,12746,14638,69.0,69.0
6396,55873,80171,6.9,230.0
24588,24584,7402d,69.0,161.0
33945,62358,3598,161.0,161.0
9776,9775,44321a,69.0,0.0
10822,17551,37616n,138.0,138.0
45640,24627,228c,345.0,345.0
2969,14419,77125,13.8,69.0
32351,32350,12954b,69.0,100.0
41955,41958,36099f,230.0,115.0
29636,29638,9275,115.0,100.0
6489,48343,80245,0.69,66.0
30141,20893,34728,69.0,161.0
39484,19253,13151,345.0,345.0
33111,33109,11769b,115.0,115.0
22119,12431,16050b,69.0,69.0
59969,59993,61202,230.0,230.0
10103,10113,4684,138.0,69.0
